id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,cmc_rank,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap
5805,Avalanche,AVAX,avalanche,771,2020-07-13T00:00:00.000Z,"defi,smart-contracts,three-arrows-capital-portfolio,polychain-capital-portfolio,avalanche-ecosystem,cms-holdings-portfolio,dragonfly-capital-portfolio,real-world-assets,layer-1",715748719,405273071.670797,445276171.670797,12,23.88520394940255,227086627.15767825,-0.86165612,-0.50193979,10.4787922,9680029972.057823
1975,Chainlink,LINK,chainlink,1836,2017-09-20T00:00:00.000Z,"platform,defi,oracles,smart-contracts,substrate,polkadot,avalanche-ecosystem,solana-ecosystem,framework-ventures-portfolio,polygon-ecosystem,fantom-ecosystem,cardano-ecosystem,web3,near-protocol-ecosystem,arbitrum-ecosytem,cardano,injective-ecosystem,optimism-ecosystem,real-world-assets,celsius-bankruptcy-estate",,608099970.4527867,1000000000,15,10.5127405525441,206060414.65623462,-0.55195316,-0.3836793,2.05958378,6392797219.37988
3077,VeChain,VET,vechain,294,2017-08-22T00:00:00.000Z,"logistics,data-provenance,iot,smart-contracts,fenbushi-capital-portfolio,real-world-assets",86712634466,80985041177,85985041177,45,0.021835506894365402,14365243.6915054,-0.59966034,1.47265356,4.2211441,1768349424.9608495
1518,Maker,MKR,maker,501,2017-01-29T00:00:00.000Z,"store-of-value,defi,dao,polychain-capital-portfolio,governance,lending-borowing,dragonfly-capital-portfolio,electric-capital-portfolio,a16z-portfolio,1confirmation-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,paradigm-portfolio,near-protocol-ecosystem,arbitrum-ecosytem,spartan-group,bnb-chain,real-world-assets,standard-crypto-portfolio",1005577,933298.18329673,977631.03695089,49,1579.7657695282178,63789712.67485238,-0.27226512,-3.82978553,-6.04408316,1474392522.7350464
3155,Quant,QNT,quant,261,2018-08-10T00:00:00.000Z,"platform,interoperability,real-world-assets",14881364,12072738,14881364,68,73.15473339892945,18205175.08679373,-0.10199874,1.92349668,20.00995825,883177929.7851248
21159,Ondo,ONDO,ondo-finance,194,2024-01-18T12:06:25.000Z,"ethereum-ecosystem,real-world-assets",,1389759838.4783604,10000000000,71,0.625514488826513,49665547.77353118,-0.96578084,0.65187497,5.32876158,869314914.9574088
6536,MANTRA,OM,mantra,187,2020-08-11T00:00:00.000Z,"cosmos-ecosystem,defi,dao,kenetic-capital-portfolio,exnetwork-capital-portfolio,polygon-ecosystem,bnb-chain,real-world-assets",,842499555.2322589,888888888,74,1.0169004166694362,25068399.22951918,1.57165983,8.47061262,6.31645251,856738148.7594987
2586,Synthetix,SNX,synthetix,626,2018-03-14T00:00:00.000Z,"services,decentralized-exchange-dex-token,defi,derivatives,dao,yield-farming,coinbase-ventures-portfolio,three-arrows-capital-portfolio,governance,synthetics,defiance-capital-portfolio,framework-ventures-portfolio,alameda-research-portfolio,parafi-capital,paradigm-portfolio,fantom-ecosystem,spartan-group,bnb-chain,optimism-ecosystem,real-world-assets,dwf-labs-portfolio,celsius-bankruptcy-estate",,327769196.1395232,328193104.0887736,115,1.3838168397971446,12932199.44350474,-0.66507258,2.6558688,8.8687682,453572533.1846455
1720,IOTA,IOTA,iota,153,2017-06-13T00:00:00.000Z,"dag,medium-of-exchange,iot,sharing-economy,real-world-assets,dwf-labs-portfolio,depin",,3420882505,3420882505,121,0.1276087683726748,6347800.83483238,-0.9874481,1.01437213,3.29688842,436534603.2106805
2634,XDC Network,XDC,xdc-network,105,2018-04-12T00:00:00.000Z,"enterprise-solutions,masternodes,smart-contracts,xdc-ecosystem,real-world-assets,layer-1",,14923276934.15,37941503904.15,128,0.02642073617971589,5328722.49873496,0.14161193,0.63375368,1.36386399,394283962.8140165
3964,Reserve Rights,RSR,reserve-rights,231,2019-05-24T00:00:00.000Z,"store-of-value,defi,coinbase-ventures-portfolio,dcg-portfolio,real-world-assets",,51059494603,100000000000,158,0.005597261488108752,18682323.72004348,-0.83052927,0.15167386,12.63257373,285793342.74366856
2467,OriginTrail,TRAC,origintrail,64,2018-01-25T00:00:00.000Z,"marketplace,logistics,ai-big-data,enterprise-solutions,distributed-computing,data-provenance,privacy,interoperability,smart-contracts,ethereum-ecosystem,polkadot-ecosystem,polygon-ecosystem,web3,open-source,desci,generative-ai,real-world-assets,layer-1,depin",,412319433.602,500000000,187,0.5182193752946632,2781060.53534317,-0.55781204,0.83774125,4.02341756,213671919.30307782
20362,Polymesh,POLYX,polymesh,84,2022-05-30T12:38:57.000Z,real-world-assets,,876585354.539611,1086633028.335343,196,0.22100194837301188,7445068.51171735,-0.37919408,-0.42703972,7.80327021,193727071.26850143
6748,Centrifuge,CFG,centrifuge,33,2020-08-28T00:00:00.000Z,"ethereum-ecosystem,substrate,polkadot,polkadot-ecosystem,real-world-assets,sei-ecosystem",,499846186,552576314,233,0.3416826456212856,2673370.89013518,0.42414712,2.96657442,0.62986344,170788767.2361892
3978,Chromia,CHR,chromia,177,2019-05-28T00:00:00.000Z,"platform,enterprise-solutions,collectibles-nfts,defi,gaming,ethereum-ecosystem,metaverse,chromia-ecosystem,web3,bnb-chain,real-world-assets,layer-1,modular-blockchain",978064789,831893575.5140381,831893575.5140381,249,0.18785847295764815,5222735.29674861,-0.76917716,-1.08182989,6.99255806,156278256.75934514
9258,Chia,XCH,chia-network,64,2021-04-16T00:00:00.000Z,"mineable,real-world-assets,layer-1",,10956980,31956980,259,13.428980747213059,4754604.99950555,-1.14549851,-1.6281411,-0.58965614,147141073.46759853
28076,Ozone Chain,OZO,ozone-chain,3,2023-09-25T04:04:14.000Z,"ai-big-data,zero-knowledge-proofs,quantum-resistant,real-world-assets,layer-1",1000000000,543099975,1000000000,276,0.2428563645990021,157651.0092962,-0.24222978,1.94781398,2.56286364,131895285.54230893
1214,Lisk,LSK,lisk,124,2016-04-06T00:00:00.000Z,"layer-2,real-world-assets,depin",,145444085,400000000,290,0.798683077261272,3067336.72366612,-0.42645988,1.67753994,5.5862612,116163729.37725
7288,Venus,XVS,venus,222,2020-10-05T00:00:00.000Z,"defi,ethereum-ecosystem,yield-farming,binance-launchpool,lending-borowing,bnb-chain,real-world-assets",,16241227.06850613,30000000,302,6.611627005927971,1550258.37278348,-0.66533823,0.7541307,3.69072771,107380935.4955435
1974,Propy,PRO,propy,49,2017-09-19T00:00:00.000Z,"real-estate,escrow,smart-contracts,arrington-xrp-capital-portfolio,real-world-assets",,100000000,100000000,304,1.068293992363815,2629231.70151262,-1.04017791,-0.41814702,-1.28525994,106829399.2363815
7725,TrueFi,TRU,truefi-token,126,2020-11-19T00:00:00.000Z,"defi,ethereum-ecosystem,yield-farming,avalanche-ecosystem,lending-borowing,real-world-assets",1450000000,1157435525.34972,1241947376.1551602,321,0.08819736898168483,15774067.62950019,-1.96523248,3.08579955,7.68377522,102082768.10177948
4092,Dusk,DUSK,dusk,144,2019-07-11T00:00:00.000Z,"pos,marketplace,enterprise-solutions,privacy,zero-knowledge-proofs,smart-contracts,real-world-assets,layer-1",,464327796.31632507,500000000,330,0.21513972311649535,8595639.05633955,-0.74204901,0.53578421,-7.23701329,99895353.53478663
8534,Chintai,CHEX,chex-token,42,2021-02-20T00:00:00.000Z,"decentralized-exchange-dex-token,eos,real-world-assets",,970254506.1686059,998890960.6369249,348,0.09507095880703918,94971.89038328,-0.81702681,11.84734018,6.521705,92243026.18829967
2496,Polymath,POLY,polymath-network,92,2018-02-02T00:00:00.000Z,"marketplace,crowdfunding,real-world-assets",,924998413,1000000000,366,0.09305899902432545,5257.96658705,2.70766703,10.95359761,-5.6501823,86079426.41286959
29779,Polyhedra Network,ZKJ,polyhedra-network,84,2024-03-19T09:05:12.000Z,"interoperability,polychain-capital-portfolio,binance-labs-portfolio,hashkey-capital-portfolio,animoca-brands-portfolio,okx-ventures-portfolio,real-world-assets",1000000000,66226205.9816,900000000,391,1.1622921852943755,10962294.18184461,-0.28166883,-0.68454416,0.27936987,76974201.67410931
7533,Oraichain,ORAI,oraichain-token,58,2020-10-27T00:00:00.000Z,"cosmos-ecosystem,ai-big-data,defi,oracles,research,injective-ecosystem,bnb-chain,generative-ai,real-world-assets,layer-1,dwf-labs-portfolio",19779272,13823700,18014986.26,399,5.365542882135156,1311687.28454931,-0.52837706,1.30724682,-2.84767604,74171655.13977174
9417,Maple,MPL,maple,70,2021-04-21T00:00:00.000Z,"defi,spartan-group,real-world-assets,circle-ventures-portfolio",10000000,4417985.58775464,10000000,405,16.39314237608034,1224092.32497553,0.13501831,0.12986721,-0.68340656,72424666.7555328
13967,Goldfinch,GFI,goldfinch-protocol,34,2021-11-05T12:19:13.000Z,real-world-assets,114285714,29135286.2,114285714,420,2.321877474905584,606574.22810055,0.15276008,2.90411861,3.02970524,67648564.75270751
17960,ORIGYN,OGY,origyn-foundation,9,2022-02-08T16:41:06.000Z,"commodities,luxury,dapp,internet-computer-ecosystem,real-world-assets",,7828640875,10417657655.05041,503,0.006688383616314831,310423.25500016,2.63444125,1.30994228,-1.99918254,52360953.3663626
28299,TokenFi,TOKEN,tokenfi,137,2023-10-27T09:01:44.000Z,"education,retail,real-estate,ai-big-data,defi,memes,research,smart-contracts,dao,ethereum-ecosystem,binance-chain,binance-smart-chain,social-token,tokenized-stock,governance,launchpad,analytics,generative-ai,real-world-assets,telegram-bot,dwf-labs-portfolio,discord-bots,paal-ecosystem,tokenfi-launchpad",10000000000,1000019789,10000000000,515,0.05002596093162744,4358092.73683344,-0.15791589,0.10096386,1.91012316,50026950.89536832
3714,LTO Network,LTO,lto-network,81,2019-02-05T00:00:00.000Z,"pos,platform,enterprise-solutions,collectibles-nfts,dao-maker,bnb-chain,real-world-assets,layer-1",500000000,431630661.7059573,431630661.7059573,524,0.1115962286498578,1736954.51521755,0.26238914,3.4642797,5.90325353,48168354.01602743
12387,Ribbon Finance,RBN,ribbon-finance,90,2021-10-07T12:24:29.000Z,"derivatives,coinbase-ventures-portfolio,real-world-assets",,127044836.99680415,1000000000,551,0.3334342788463476,1322639.77829321,0.49104575,-1.76118395,7.31921395,42361103.60518117
11036,Alkimi,ADS,alkimi,15,2021-07-24T00:00:00.000Z,"marketing,real-world-assets,depin",,236991084.18,250000000,593,0.1511981259431776,270977.73309191,-2.52493338,-0.84271487,4.74293179,35832607.79325785
8827,Boson Protocol,BOSON,boson-protocol,51,2021-03-16T00:00:00.000Z,"marketplace,collectibles-nfts,e-commerce,payments,metaverse,exnetwork-capital-portfolio,play-to-earn,real-world-assets",200000000,132645891.4301309,200000000,620,0.24786154440734526,515304.06693172,0.19086269,1.19749168,-6.01314672,32877815.509161286
28385,Propbase,PROPS,propbase,14,2023-11-13T02:19:04.000Z,"aptos-ecosystem,real-world-assets",1200000000,367751553.509562,1200000000,646,0.08226987599188712,1512573.24091097,-0.92068625,-5.7145092,2.57558187,30254874.70305551
9220,StrikeX,STRX,strikecoin,19,2021-04-14T00:00:00.000Z,"defi,wallet,binance-smart-chain,bnb-chain,real-world-assets",,870328823.0123705,884232753.5840485,651,0.033697640945574106,985885.03170335,-0.48351039,2.46967208,3.13800349,29328028.182454973
18966,NEOPIN,NPT,neopin,13,2022-03-21T11:45:05.000Z,"yield-farming,real-world-assets",,104478445.10000002,1000000000,658,0.2759806230137044,1199303.74139032,0.16903524,1.10758386,15.51929477,28834026.37020112
