id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,cmc_rank,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap
10603,Immutable,IMX,immutable-x,307,2021-06-24T00:00:00.000Z,"collectibles-nfts,zero-knowledge-proofs,gaming,scaling,layer-2,rollups,arrington-xrp-capital-portfolio,alameda-research-portfolio",2000000000,1605299431.3898141,2000000000,39,1.2616280047100141,30838685.20632133,-0.00999675,0.79778845,6.94204875,2025290718.5864515
10804,FLOKI,FLOKI,floki-inu,533,2021-07-09T00:00:00.000Z,"gaming,memes,metaverse,doggone-doggerel,play-to-earn,bnb-chain,dwf-labs-portfolio,paal-ecosystem,tokenfi-launchpad",,9582823795203.986,9687656027101.875,57,0.00012645999638653807,156077916.53237596,-0.74824694,0.49808782,6.37482461,1211843862.5143273
28850,Notcoin,NOT,notcoin,162,2024-05-09T15:38:45.000Z,"gaming,binance-launchpool,play-to-earn,web3,telegram-bot,toncoin-ecosystem,tap-to-earn",,102474423008.2429,102474423008.2429,75,0.0082032800868051,93164119.42740905,-0.07553939,0.27040128,1.84081596,840626393.6703614
6892,MultiversX,EGLD,multiversx-egld,260,2020-09-04T00:00:00.000Z,"pos,enterprise-solutions,distributed-computing,loyalty,defi,gaming,identity,payments,scaling,smart-contracts,software,binance-launchpad,binance-labs-portfolio,metaverse,electric-capital-portfolio,exnetwork-capital-portfolio,mobile-payment,web3,elrond-ecosystem,injective-ecosystem,bnb-chain,layer-1,dwf-labs-portfolio,multiversx-ecosystem,depin",31415926,27295752.75255375,27392619,80,26.508606408130905,12910826.04290852,-0.10434903,1.27379328,-0.86134458,723572366.3311031
6783,Axie Infinity,AXS,axie-infinity,473,2020-08-31T00:00:00.000Z,"collectibles-nfts,gaming,binance-launchpad,metaverse,defiance-capital-portfolio,play-to-earn,animoca-brands-portfolio,sec-security-token,alleged-sec-securities",,149460748.86624366,270000000,84,4.507677879258073,18041563.10310286,-0.34031753,0.73003281,-0.13648387,673720911.4817126
28298,Beam,BEAM,onbeam,145,2021-10-29T04:07:32.000Z,"gaming,ethereum-ecosystem,binance-chain,binance-launchpool,governance,play-to-earn,token,gaming-guild,spartan-group,dwf-labs-portfolio",62434008330,49466004168,62434008330,87,0.013139468231806152,9960279.48792841,-0.28679332,5.37570076,4.49130135,649956990.3198267
7080,Gala,GALA,gala,458,2020-09-16T00:00:00.000Z,"collectibles-nfts,gaming,binance-smart-chain,polygon-ecosystem,play-to-earn,dwf-labs-portfolio",,34602571073.18659,36626731209.201225,89,0.018406649362620018,77234451.36944303,-0.33380673,-3.94051339,4.0679617,636917392.7892839
6210,The Sandbox,SAND,the-sandbox,578,2020-08-05T00:00:00.000Z,"collectibles-nfts,content-creation,gaming,ethereum-ecosystem,binance-launchpad,metaverse,play-to-earn,animoca-brands-portfolio,sec-security-token,alleged-sec-securities",,2336232126.2233224,3000000000,97,0.25245517120916866,35685558.81878126,-0.23469607,-0.58775512,4.09878826,589793881.410069
23635,BinaryX,BNX,binaryx-new,104,2021-05-18T00:00:00.000Z,"gaming,binance-chain",580000000,373089113.3656129,562785215.910156,100,1.4975576616851671,15545341.56511347,0.31108488,2.58343454,35.09055492,558722460.2119995
14101,Ronin,RON,ronin,71,2021-11-08T17:57:40.000Z,"platform,gaming,staking,layer-1",,347812728.23500836,1000000000,104,1.511012224043674,5176893.6999385,-0.08732674,1.17947132,-0.60201341,525549284.041078
1966,Decentraland,MANA,decentraland,523,2017-09-17T00:00:00.000Z,"platform,collectibles-nfts,gaming,payments,metaverse,boostvc-portfolio,dcg-portfolio,fabric-ventures-portfolio,kenetic-capital-portfolio,polygon-ecosystem,play-to-earn,sec-security-token,alleged-sec-securities",,1908319865.391588,2193179327.320146,105,0.26619281993887733,25870307.00165286,-0.13252724,-0.62015472,3.66526024,507981046.3139656
18876,ApeCoin,APE,apecoin-ape,421,2022-03-17T12:26:36.000Z,"collectibles-nfts,content-creation,gaming,entertainment,dao,governance,metaverse,animoca-brands-portfolio",1000000000,604895833,1000000000,107,0.8194553314556808,141066487.5962771,-0.10059061,6.93379863,37.94481381,495685115.32717514
7548,WEMIX,WEMIX,wemix,56,2020-10-29T00:00:00.000Z,"platform,collectibles-nfts,gaming,metaverse,play-to-earn",590000000,410351033.12,529944857.37,139,0.9154762717133101,3466415.49265712,-0.29373833,8.09068412,5.91751108,375666633.8944027
8290,SuperVerse,SUPER,superfarm,182,2021-01-20T00:00:00.000Z,"collectibles-nfts,gaming,launchpad,polkastarter,exnetwork-capital-portfolio,superstarter,polygon-ecosystem,animoca-brands-portfolio,injective-ecosystem,bnb-chain",1000000000,487976093.41691726,999998077.4169173,140,0.7687116789485212,21477840.82955936,0.23560588,11.28543306,15.86128411,375112922.0572589
18069,GMT,GMT,green-metaverse-token,374,2022-03-09T12:47:15.000Z,"collectibles-nfts,gaming,binance-smart-chain,binance-launchpad,solana-ecosystem,bnb-chain,move-to-earn",,2453961004.6130257,5293893272.896749,147,0.13320521259411325,52766848.65212229,0.62699647,5.77314354,17.33774033,326880397.31714183
23711,Echelon Prime,PRIME,echelon-prime,72,2023-03-01T16:41:56.000Z,"ai-big-data,collectibles-nfts,gaming,paradigm-portfolio,generative-ai,base-ecosystem",111111112,35773841,111111111.1,169,6.996498897144885,1767436.57097464,0.34780692,2.42157473,0.14042832,250291639.10313648
2130,Enjin Coin,ENJ,enjin-coin,422,2017-11-01T00:00:00.000Z,"media,vr-ar,collectibles-nfts,gaming,polkadot-ecosystem,metaverse,arrington-xrp-capital-portfolio,layer-1",,1701318623.9432278,1834021564.4205453,172,0.14546420693831147,12351197.28122575,-0.49624169,0.17456151,6.96529616,247480964.381281
8719,Illuvium,ILV,illuvium,191,2021-03-08T00:00:00.000Z,"collectibles-nfts,gaming,dao,metaverse,play-to-earn",,4737748.6330957,8387018.745159,228,38.08353519663008,6684878.5118318,-0.60489458,1.92622895,4.45421199,180430216.82128614
5691,SKALE,SKL,skale-network,177,2020-06-12T00:00:00.000Z,"platform,gaming,scaling,smart-contracts,staking,layer-2,arrington-xrp-capital-portfolio,boostvc-portfolio,galaxy-digital-portfolio,hashkey-capital-portfolio",7000000000,5538894337,5976541667,232,0.031525041487255254,20334779.063074,-0.92877967,2.13486827,2.66880874,174613873.7674482
10180,Gomining,Gomining,gomining-token,63,2021-06-01T00:00:00.000Z,"collectibles-nfts,gaming,ethereum-ecosystem,bnb-chain,toncoin-ecosystem",417708105,416906333.1329886,416906333.1329886,234,0.4048458024339773,12220646.8246195,-0.74238251,-0.45182257,-0.03943813,168782778.9770318
5647,Kadena,KDA,kadena,84,2020-05-31T00:00:00.000Z,"mineable,pow,blake2s,platform,ai-big-data,collectibles-nfts,defi,gaming,smart-contracts,dao,wallet,launchpad,coinfund-portfolio,multicoin-capital-portfolio,web3,defi-2,layer-1,kadena-ecosystem",1000000000,288997884.45074,1000000000,249,0.540694941889882,3583766.10716752,0.84020969,3.75378042,3.1769022,156259694.33939168
3978,Chromia,CHR,chromia,177,2019-05-28T00:00:00.000Z,"platform,enterprise-solutions,collectibles-nfts,defi,gaming,ethereum-ecosystem,metaverse,chromia-ecosystem,web3,bnb-chain,real-world-assets,layer-1,modular-blockchain",978064789,831893575.5140381,831893575.5140381,248,0.18792338653366483,5192987.03438775,-0.46733697,-0.8162516,6.82503639,156332257.94619706
10407,Baby Doge Coin,BabyDoge,baby-doge-coin,167,2021-06-11T00:00:00.000Z,"marketing,art,marketplace,media,philanthropy,services,collectibles-nfts,loyalty,content-creation,gaming,memes,payments,ethereum-ecosystem,binance-smart-chain,doggone-doggerel,web3,bnb-chain,generative-ai,tap-to-earn",,149634314516742400,203650857983827520,267,9.4828339288445e-10,3045896.62155853,-0.39388422,-1.13027775,0.80785918,141895735.4618754
10688,Yield Guild Games,YGG,yield-guild-games,226,2021-06-28T00:00:00.000Z,"collectibles-nfts,gaming,entertainment,dao,metaverse,a16z-portfolio,play-to-earn,animoca-brands-portfolio,gaming-guild,okx-ventures-portfolio,dwf-labs-portfolio",,376390641.17833513,1000000000,266,0.37763282074042226,33679475.26874868,0.23833967,1.90427885,3.44370122,142137459.5284708
22265,Oasys,OAS,oasys,40,2022-10-18T06:35:35.000Z,"platform,collectibles-nfts,gaming,token,layer-1",10000000000,2795237608.271654,10000000000,285,0.043113256709292995,10032099.29765159,-0.61929983,3.53494139,0.80017322,120511796.568886
28933,Xai,XAI,xai-games,147,2024-01-03T10:03:02.000Z,"platform,gaming,binance-launchpool,cms-holdings-portfolio,arbitrum-ecosytem,animoca-brands-portfolio",2500000000,641582962.1360435,1286634005.7928686,289,0.18452912510819613,12469501.07931135,-0.36238667,-0.96640721,-0.10175172,118390742.68728904
7798,Decentral Games [Old],DG,decentral-games-old,17,2020-11-27T00:00:00.000Z,"collectibles-nfts,gaming,dao,metaverse,polygon-ecosystem,play-to-earn,bnb-chain",1000000,346695.49674607,1000000,,,108366.68450001,-0.01601884,2.24911061,-14.74070298,
2300,WAX,WAXP,wax,117,2017-12-21T00:00:00.000Z,"media,collectibles-nfts,gaming,entertainment,payments,metaverse,galaxy-digital-portfolio,kenetic-capital-portfolio,play-to-earn,okx-ventures-portfolio,layer-1",,3494253746.4524484,4246487608.0611506,307,0.03028226874778876,7032674.08072086,-0.16211792,1.75047578,6.44845241,105813931.02304076
11374,Mines of Dalarnia,DAR,mines-of-dalarnia,162,2021-08-24T00:00:00.000Z,"collectibles-nfts,gaming,binance-launchpool,metaverse,chromia-ecosystem,play-to-earn,animoca-brands-portfolio",800000000,616074813.411253,800000000,318,0.167080641809719,38729723.90506677,-0.51425145,-6.70922405,23.65936633,102934175.22755502
29335,Pixels,PIXEL,pixels,137,2024-02-19T09:43:44.000Z,"collectibles-nfts,gaming,binance-launchpool,governance,play-to-earn,web3,animoca-brands-portfolio,gaming-guild",5000000000,771041667,5000000000,329,0.13016544396634996,17914454.33655892,-0.47938613,0.63313311,3.68395862,100362980.90160957
14783,Treasure,MAGIC,magic-token,304,2021-11-18T11:20:24.000Z,"gaming,metaverse,arbitrum-ecosytem",347714007,266068899.98409647,347714007,350,0.34164294534546225,9162721.03018387,-0.42169272,0.62876902,6.21159916,90900562.65539393
28230,Big Time,BIGTIME,big-time,134,2023-10-11T04:56:06.000Z,"collectibles-nfts,gaming,gaming-guild,okx-ventures-portfolio",5000000000,1070875912.64095,5000000000,356,0.08315127149486361,20019833.6850848,-0.40228132,2.05450349,24.03790925,89044693.74931747
3801,BORA,BORA,bora,34,2019-03-18T00:00:00.000Z,"marketplace,gaming",1205750000,998397751.7527018,1205750000,372,0.08307291490470349,690723.03253429,-0.0166402,1.55492312,0.21359364,82939811.47239947
28674,Fusionist,ACE,fusionist,115,2023-12-11T13:06:52.000Z,"gaming,social-token,binance-launchpool",147000000,37356687,146307870,380,2.1537512881672685,9277191.859605,-0.45189125,1.66312275,7.46433679,80457012.74791145
12749,Nakamoto Games,NAKA,nakamoto-games,81,2021-10-14T18:35:34.000Z,"collectibles-nfts,gaming,metaverse,play-to-earn,vbc-ventures-portfolio",180000000,90463651.99999112,180000000,393,0.8347162271367307,38616812.97666366,-0.74033504,-1.15943934,-1.97966482,75511478.29044275
22764,Hooked Protocol,HOOK,hooked-protocol,113,2022-12-01T14:40:31.000Z,"education,ai-big-data,gaming,binance-smart-chain,binance-launchpad,binance-labs-portfolio,metaverse,bnb-chain",,184560920.075739,500000000,392,0.4093181268887646,7791328.76275629,-0.36899267,-0.44561792,0.7973857,75544130.10226849
29555,Portal,PORTAL,portal-gaming,120,2024-02-21T08:01:46.000Z,"gaming,binance-launchpool",1000000000,278041799.91459244,278041799.91459244,407,0.25911409840686705,8627963.07849268,-0.29535253,-1.67544372,8.4995906,72044550.30429214
7064,BakeryToken,BAKE,bakerytoken,285,2020-09-15T00:00:00.000Z,"collectibles-nfts,defi,gaming,binance-chain,amm,dex,bnb-chain",,289770511.9544846,289770511.9544846,409,0.24656729494158275,9395126.24683098,-0.09153083,0.9358849,4.41419213,71447931.28645483
22359,XPLA,XPLA,xpla,17,2022-10-24T06:03:39.000Z,"cosmos-ecosystem,gaming,play-to-earn",2000000000,681293459.482752,1999927721.834,421,0.098714179761014,352812.08939617,0.69331294,3.8524369,2.78545031,67253325.02938348
8972,Seedify.fund,SFUND,seedify-fund,129,2021-03-29T00:00:00.000Z,"gaming,launchpad,polygon-ecosystem,play-to-earn,bnb-chain,dwf-labs-portfolio",100000000,62109652,100000000,429,1.0519103107478356,2162562.6686633,-1.20537231,-2.46277931,-1.77437073,65333783.33575993
