id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,price,volume_24h,percent_change_1h,percent_change_24h,percent_change_7d,market_cap
1,Bitcoin,BTC,bitcoin,11674,2010-07-13T00:00:00.000Z,"mineable, pow, sha-256, store-of-value, state-channel, coinbase-ventures-portfolio, three-arrows-capital-portfolio, polychain-capital-portfolio, binance-labs-portfolio, blockchain-capital-portfolio, boostvc-portfolio, cms-holdings-portfolio, dcg-portfolio, dragonfly-capital-portfolio, electric-capital-portfolio, fabric-ventures-portfolio, framework-ventures-portfolio, galaxy-digital-portfolio, huobi-capital-portfolio, alameda-research-portfolio, a16z-portfolio, 1confirmation-portfolio, winklevoss-capital-portfolio, usv-portfolio, placeholder-ventures-portfolio, pantera-capital-portfolio, multicoin-capital-portfolio, paradigm-portfolio, bitcoin-ecosystem, ftx-bankruptcy-estate",21000000.0,19752862.0,19752862.0,,1,2024-09-11T22:17:00.000Z,57337.04757076303,37213830199.43716,-0.10421817,-0.57467795,-1.65361091,1132570788152.7175
1027,Ethereum,ETH,ethereum,9270,2015-08-07T00:00:00.000Z,"pos, smart-contracts, ethereum-ecosystem, coinbase-ventures-portfolio, three-arrows-capital-portfolio, polychain-capital-portfolio, binance-labs-portfolio, blockchain-capital-portfolio, boostvc-portfolio, cms-holdings-portfolio, dcg-portfolio, dragonfly-capital-portfolio, electric-capital-portfolio, fabric-ventures-portfolio, framework-ventures-portfolio, hashkey-capital-portfolio, kenetic-capital-portfolio, huobi-capital-portfolio, alameda-research-portfolio, a16z-portfolio, 1confirmation-portfolio, winklevoss-capital-portfolio, usv-portfolio, placeholder-ventures-portfolio, pantera-capital-portfolio, multicoin-capital-portfolio, paradigm-portfolio, layer-1, ftx-bankruptcy-estate",,120328140.19816928,120328140.19816928,,2,2024-09-11T22:16:00.000Z,2342.4955133409285,15481402254.438292,-0.04092322,-1.72804208,-5.05144216,281868128542.86975
825,Tether USDt,USDT,tether,96895,2015-02-25T00:00:00.000Z,"stablecoin, asset-backed-stablecoin, avalanche-ecosystem, solana-ecosystem, arbitrum-ecosytem, moonriver-ecosystem, injective-ecosystem, bnb-chain, usd-stablecoin, optimism-ecosystem, fiat-stablecoin",,118376416505.88611,120237807342.86952,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",3,2024-09-11T22:16:00.000Z,1.0001579282260709,54100837589.46744,0.00240283,0.01779759,0.01489876,118395111483.35352
1839,BNB,BNB,bnb,2225,2017-07-25T00:00:00.000Z,"marketplace, centralized-exchange, payments, smart-contracts, alameda-research-portfolio, multicoin-capital-portfolio, bnb-chain, layer-1, sec-security-token, alleged-sec-securities, celsius-bankruptcy-estate",,145934262.6834099,145934262.6834099,,4,2024-09-11T22:16:00.000Z,529.8415251419738,1632983372.0119197,-0.05760435,1.81309503,3.25640817,77322032310.64732
5426,Solana,SOL,solana,729,2020-04-10T00:00:00.000Z,"pos, platform, solana-ecosystem, cms-holdings-portfolio, kenetic-capital-portfolio, alameda-research-portfolio, multicoin-capital-portfolio, okx-ventures-portfolio, layer-1, ftx-bankruptcy-estate, sec-security-token, alleged-sec-securities, cmc-crypto-awards-2024",,467932809.16186565,584295537.6215364,,5,2024-09-11T22:16:00.000Z,132.49997470081726,2134746361.657864,0.03121307,-2.38936563,-1.48183364,62001085375.62955
3408,USDC,USDC,usd-coin,21901,2018-10-08T00:00:00.000Z,"medium-of-exchange, stablecoin, asset-backed-stablecoin, coinbase-ventures-portfolio, solana-ecosystem, hedera-hashgraph-ecosystem, arbitrum-ecosytem, moonriver-ecosystem, bnb-chain, usd-stablecoin, optimism-ecosystem, base-ecosystem, fiat-stablecoin",,35373589066.71457,35373589066.71457,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",6,2024-09-11T22:16:00.000Z,1.0000974252745174,6186554906.97069,0.01467765,0.01621894,0.0067074,35377035348.34006
52,XRP,XRP,xrp,1376,2013-08-04T00:00:00.000Z,"medium-of-exchange, enterprise-solutions, arrington-xrp-capital-portfolio, galaxy-digital-portfolio, a16z-portfolio, pantera-capital-portfolio, ftx-bankruptcy-estate",100000000000.0,56329375591.0,99987271820.0,,7,2024-09-11T22:17:00.000Z,0.5359346340148892,896850128.3611844,0.1043545,-0.98913721,-4.40426592,30188863291.649815
74,Dogecoin,DOGE,dogecoin,1056,2013-12-15T00:00:00.000Z,"mineable, pow, scrypt, medium-of-exchange, memes, payments, doggone-doggerel, bnb-chain, ftx-bankruptcy-estate",,145917336383.70523,145917336383.70523,,8,2024-09-11T22:17:00.000Z,0.10137750051772822,527666729.7964783,-0.27916061,-1.54575503,2.73516656,14792734844.7846
11419,Toncoin,TON,toncoin,548,2021-08-26T13:40:22.000Z,"pos, layer-1, ftx-bankruptcy-estate, dwf-labs-portfolio, toncoin-ecosystem",,2532841204.0480604,5111681741.636049,,9,2024-09-11T22:16:00.000Z,5.315265291251289,291854164.92409605,0.34369854,-3.135305,14.13507691,13462722940.127779
1958,TRON,TRX,tron,1025,2017-09-13T00:00:00.000Z,"media, payments, tron-ecosystem, layer-1, dwf-labs-portfolio, sec-security-token, alleged-sec-securities",,86710245313.31448,86710244513.55528,,10,2024-09-11T22:16:00.000Z,0.15321380015955688,292102727.3747323,0.09389455,0.03211734,2.13948271,13285206197.220318
