crypto_id,exchange_id,exchange_name,exchange_slug
6535,270,Binance,binance
6535,7680,DOEX,doex
6535,21,BTCC,btcc
6535,521,Bybit,bybit
6535,407,DigiFinex,digifinex
6535,1188,BYDFi,bydfi
6535,9867,KCEX,kcex
6535,294,OKX,okx
6535,333,LBank,lbank
6535,6137,Toobit,toobit
6535,513,Bitget,bitget
6535,9202,4E,4e
6535,6637,BloFin,blofin
6535,943,Hotcoin,hotcoin-global
6535,1653,ZOOMEX,zoomex
6535,1133,TruBit Pro Exchange,trubit-exchange
6535,9449,Bitoy,bitoy
6535,5751,WEEX,weex
6535,9298,BiKing,biking
6535,1182,Deepcoin,deepcoin
6535,1149,Crypto.com Exchange,crypto-com-exchange
6535,433,Bitrue,bitrue
6535,7618,BVOX,bvox
6535,10771,BXTEN,bxten
6535,517,CoinW,coinw
6535,10702,Coin8 Exchange,coin8-exchange
6535,1379,Batonex,wisebitcoin
6535,9218,Hibt,hibt
6535,406,BitMart,bitmart
6535,1064,BingX,bingx
6535,1247,FameEX,fameex
6535,8125,OrangeX,orangex
6535,8885,UEEx,ueex
6535,1645,Tapbit,tapbit
6535,501,WhiteBIT,whitebit
6535,10153,Ourbit,ourbit
6535,7302,Bitunix,bitunix
6535,7085,Fairdesk,fairdesk
6535,102,HTX,htx
6535,9450,Zedxion Exchange,zedxion-exchange
6535,525,XT.COM,xt
6535,790,Pionex,pionex
6535,302,Gate.io,gate-io
6535,544,MEXC,mexc
6535,10770,Aibit,aibit
6535,351,Upbit,upbit
6535,5319,SuperEx,superex
6535,311,KuCoin,kucoin
6535,9181,UZX,uzx
6535,9586,Bitop,bitop
6535,1414,Kine Protocol,kine-protocol
6535,89,Coinbase Exchange,coinbase-exchange
6535,9606,BiFinance,bifinance-exchange
6535,9584,B2Z Exchange,b2z-exchange
6535,6472,Flipster,flipster
6535,10963,BITmarkets,bitmarkets
6535,1601,Bullish,bullish
6535,9015,Websea,websea
6535,658,BTSE,btse
6535,24,Kraken,kraken
6535,955,Phemex,phemex
6535,453,AscendEX (BitMax),ascendex
6535,350,CoinEx,coinex
6535,339,Bibox,bibox
6535,7850,Bitcastle,bitcastle
6535,8563,BITFLEX,bitflex
6535,200,Bithumb,bithumb
6535,937,Biconomy.com,biconomy
6535,10846,TNNS PROX,tnns-prox
6535,1117,Azbit,azbit
6535,16,Poloniex,poloniex
6535,157,BitMEX,bitmex
6535,1161,BIT,bit-com
6535,9665,ZKE,zke
6535,380,LATOKEN,latoken
6535,8112,Hyperliquid,hyperliquid
6535,9365,AlphaX,alphax
6535,1131,Bitcoiva,bitcoiva
6535,1375,Binance TR,binance-tr
6535,1561,Bit2Me,bit2me
6535,1289,WOO X,woox
6535,7451,CoinCatch,coincatch
6535,37,Bitfinex,bitfinex
6535,70,Bitstamp,bitstamp
6535,7893,Coinbase International Exchange,coinbase-international-exchange
6535,8790,dYdX v4,dydx-v4
6535,8884,FMCPAY,fmcpay-exchange
6535,520,Bitvavo,bitvavo
6535,6732,Vertex Protocol,vertex-protocol
6535,1110,PrimeXBT,primexbt
6535,42,HitBTC,hitbtc
6535,154,Dex-Trade,dex-trade
6535,1199,PointPay,pointpay
6535,7845,Coincall,coincall
6535,500,Tokenize Xchange,tokenize-xchange
6535,857,FMFW.io,bitcoin-com-exchange
6535,867,Qmall Exchange,qmall
6535,516,dYdX,dydx
6535,1222,Gleec BTC,gleec-btc
6535,243,BtcTurk | Kripto,btcturk-kripto
6535,10885,Orderly Network (EVM),orderly-network-evm
6535,834,Nominex,nominex
6535,3735,ICRYPEX,icrypex
6535,253,LocalTrade,localtrade
6535,125,Bitso,bitso
6535,561,PayBito,paybito
6535,1531,NexDAX,nexdax
6535,9384,BitDelta,bitdelta
6535,1452,APX,apollox
6535,1336,Quidax,quidax
6535,50,EXMO,exmo
6535,385,Cryptonex,cryptonex
6535,440,Cryptology,cryptology
6535,705,Delta Exchange,delta-exchange
6535,9108,ChangeNOW,changenow
6535,174,Coinone,coinone
6535,436,Bitkub,bitkub
6535,1124,Bitazza,bitazza
6535,8767,ONUS Pro,onus-pro
6535,7557,EXMO.ME,exmo-me
6535,487,VinDAX,vindax
6535,7373,Koinpark,koinpark
6535,1145,KoinBX,koinbx
6535,7748,Topcredit Int,topcredit-int
6535,68,Indodax,indodax
6535,8418,APX v2 (BSC),apollox-v2-bsc
6535,622,NovaDAX,novadax
6535,194,Korbit,korbit
6535,10445,Ebi.xyz,ebi-xyz
6535,710,Tokocrypto,tokocrypto
6535,36,CEX.IO,cex-io
6535,9662,Binance TH,binance-th
6535,630,Binance.US,binance-us
6535,949,CoinDCX,coindcx
6535,599,BankCEX,bankcex
6535,9786,CoinLion,coinlion
6535,1215,Foxbit,foxbit
6535,6406,Bitlo,bitlo
6535,567,Remitano,remitano
6535,9329,DeGate,degate
6535,224,BTC Markets,btc-markets
6535,7500,XeggeX,xeggex
6535,376,Bitbns,bitbns
6535,488,Coinmetro,coinmetro
6535,325,Orbix,satang-pro
6535,922,StormGain,stormgain
6535,370,ZebPay,zebpay
6535,5455,Orderly Network,orderly-network
6535,1254,Blockchain.com,blockchain-com-exchange
6535,378,Unocoin,unocoin
6535,1009,Giottus,giottus
6535,802,digitalexchange.id,digitalexchange-id
6535,425,WazirX,wazirx
6535,10946,XEX,xex
8916,270,Binance,binance
8916,21,BTCC,btcc
8916,521,Bybit,bybit
8916,10361,CoinUp.io,coinup-io
8916,407,DigiFinex,digifinex
8916,1188,BYDFi,bydfi
8916,9867,KCEX,kcex
8916,294,OKX,okx
8916,333,LBank,lbank
8916,6137,Toobit,toobit
8916,513,Bitget,bitget
8916,9202,4E,4e
8916,6637,BloFin,blofin
8916,943,Hotcoin,hotcoin-global
8916,1653,ZOOMEX,zoomex
8916,5751,WEEX,weex
8916,9298,BiKing,biking
8916,1182,Deepcoin,deepcoin
8916,1149,Crypto.com Exchange,crypto-com-exchange
8916,433,Bitrue,bitrue
8916,10771,BXTEN,bxten
8916,517,CoinW,coinw
8916,10702,Coin8 Exchange,coin8-exchange
8916,9218,Hibt,hibt
8916,406,BitMart,bitmart
8916,1064,BingX,bingx
8916,8885,UEEx,ueex
8916,1645,Tapbit,tapbit
8916,501,WhiteBIT,whitebit
8916,10866,3EX,3ex
8916,10153,Ourbit,ourbit
8916,7085,Fairdesk,fairdesk
8916,102,HTX,htx
8916,9450,Zedxion Exchange,zedxion-exchange
8916,525,XT.COM,xt
8916,790,Pionex,pionex
8916,302,Gate.io,gate-io
8916,544,MEXC,mexc
8916,10770,Aibit,aibit
8916,5319,SuperEx,superex
8916,311,KuCoin,kucoin
8916,9586,Bitop,bitop
8916,89,Coinbase Exchange,coinbase-exchange
8916,6472,Flipster,flipster
8916,9015,Websea,websea
8916,24,Kraken,kraken
8916,955,Phemex,phemex
8916,350,CoinEx,coinex
8916,339,Bibox,bibox
8916,7850,Bitcastle,bitcastle
8916,8563,BITFLEX,bitflex
8916,200,Bithumb,bithumb
8916,9217,GroveX,grovex
8916,16,Poloniex,poloniex
8916,330,BigONE,bigone
8916,1411,Coinstore,coinstore
8916,9665,ZKE,zke
8916,380,LATOKEN,latoken
8916,9365,AlphaX,alphax
8916,1131,Bitcoiva,bitcoiva
8916,1375,Binance TR,binance-tr
8916,1561,Bit2Me,bit2me
8916,1289,WOO X,woox
8916,7451,CoinCatch,coincatch
8916,37,Bitfinex,bitfinex
8916,70,Bitstamp,bitstamp
8916,7893,Coinbase International Exchange,coinbase-international-exchange
8916,8790,dYdX v4,dydx-v4
8916,520,Bitvavo,bitvavo
8916,6732,Vertex Protocol,vertex-protocol
8916,1110,PrimeXBT,primexbt
8916,1371,Globe Derivative Exchange,globe-derivative-exchange
8916,42,HitBTC,hitbtc
8916,225,Paribu,paribu
8916,7845,Coincall,coincall
8916,500,Tokenize Xchange,tokenize-xchange
8916,516,dYdX,dydx
8916,633,Mandala Exchange,mandala
8916,834,Nominex,nominex
8916,1138,Bitexen,bitexen
8916,253,LocalTrade,localtrade
8916,9108,ChangeNOW,changenow
8916,174,Coinone,coinone
8916,1295,LCX Exchange,lcx-exchange
8916,7748,Topcredit Int,topcredit-int
8916,68,Indodax,indodax
8916,622,NovaDAX,novadax
8916,194,Korbit,korbit
8916,710,Tokocrypto,tokocrypto
8916,36,CEX.IO,cex-io
8916,9662,Binance TH,binance-th
8916,630,Binance.US,binance-us
8916,949,CoinDCX,coindcx
8916,6406,Bitlo,bitlo
8916,376,Bitbns,bitbns
8916,325,Orbix,satang-pro
8916,922,StormGain,stormgain
8916,370,ZebPay,zebpay
8916,1011,Coinlist Pro,coinlist-pro
8916,1009,Giottus,giottus
8916,425,WazirX,wazirx
8916,10783,HyperPay Futures,hyperpay-futures
8916,10946,XEX,xex
3773,270,Binance,binance
3773,7680,DOEX,doex
3773,21,BTCC,btcc
3773,9200,Zedcex Exchange,zedcex-exchange
3773,521,Bybit,bybit
3773,10361,CoinUp.io,coinup-io
3773,407,DigiFinex,digifinex
3773,1188,BYDFi,bydfi
3773,9867,KCEX,kcex
3773,294,OKX,okx
3773,333,LBank,lbank
3773,6137,Toobit,toobit
3773,513,Bitget,bitget
3773,9202,4E,4e
3773,6637,BloFin,blofin
3773,943,Hotcoin,hotcoin-global
3773,1133,TruBit Pro Exchange,trubit-exchange
3773,5751,WEEX,weex
3773,8961,BlueBit,bluebit
3773,1182,Deepcoin,deepcoin
3773,1149,Crypto.com Exchange,crypto-com-exchange
3773,433,Bitrue,bitrue
3773,10771,BXTEN,bxten
3773,517,CoinW,coinw
3773,9218,Hibt,hibt
3773,406,BitMart,bitmart
3773,1064,BingX,bingx
3773,1247,FameEX,fameex
3773,8125,OrangeX,orangex
3773,8885,UEEx,ueex
3773,1645,Tapbit,tapbit
3773,501,WhiteBIT,whitebit
3773,10153,Ourbit,ourbit
3773,7302,Bitunix,bitunix
3773,7085,Fairdesk,fairdesk
3773,102,HTX,htx
3773,9450,Zedxion Exchange,zedxion-exchange
3773,790,Pionex,pionex
3773,302,Gate.io,gate-io
3773,544,MEXC,mexc
3773,10770,Aibit,aibit
3773,5319,SuperEx,superex
3773,311,KuCoin,kucoin
3773,9181,UZX,uzx
3773,89,Coinbase Exchange,coinbase-exchange
3773,9584,B2Z Exchange,b2z-exchange
3773,10963,BITmarkets,bitmarkets
3773,9015,Websea,websea
3773,658,BTSE,btse
3773,24,Kraken,kraken
3773,955,Phemex,phemex
3773,453,AscendEX (BitMax),ascendex
3773,350,CoinEx,coinex
3773,7850,Bitcastle,bitcastle
3773,8563,BITFLEX,bitflex
3773,200,Bithumb,bithumb
3773,937,Biconomy.com,biconomy
3773,10109,Niza Global,niza-global
3773,10846,TNNS PROX,tnns-prox
3773,9217,GroveX,grovex
3773,16,Poloniex,poloniex
3773,1411,Coinstore,coinstore
3773,9665,ZKE,zke
3773,380,LATOKEN,latoken
3773,8112,Hyperliquid,hyperliquid
3773,9365,AlphaX,alphax
3773,1131,Bitcoiva,bitcoiva
3773,1375,Binance TR,binance-tr
3773,1561,Bit2Me,bit2me
3773,1289,WOO X,woox
3773,7451,CoinCatch,coincatch
3773,37,Bitfinex,bitfinex
3773,70,Bitstamp,bitstamp
3773,1348,Uniswap v3 (Ethereum),uniswap-v3
3773,520,Bitvavo,bitvavo
3773,6706,PancakeSwap v3 (BSC),pancakeswap-v3
3773,42,HitBTC,hitbtc
3773,154,Dex-Trade,dex-trade
3773,225,Paribu,paribu
3773,9613,Slex Exchange,slex-exchange
3773,1199,PointPay,pointpay
3773,243,BtcTurk | Kripto,btcturk-kripto
3773,834,Nominex,nominex
3773,151,Gemini,gemini
3773,1336,Quidax,quidax
3773,1344,PancakeSwap v2 (BSC),pancakeswap-v2
3773,9108,ChangeNOW,changenow
3773,174,Coinone,coinone
3773,1261,OpenOcean,openocean
3773,1124,Bitazza,bitazza
3773,7373,Koinpark,koinpark
3773,7748,Topcredit Int,topcredit-int
3773,68,Indodax,indodax
3773,6444,Uniswap v3 (BSC),uniswap-bsc
3773,194,Korbit,korbit
3773,710,Tokocrypto,tokocrypto
3773,36,CEX.IO,cex-io
3773,9662,Binance TH,binance-th
3773,1447,Osmosis,osmosis
3773,630,Binance.US,binance-us
3773,1215,Foxbit,foxbit
3773,6406,Bitlo,bitlo
3773,9329,DeGate,degate
3773,657,CoinJar,coinjar
3773,376,Bitbns,bitbns
3773,488,Coinmetro,coinmetro
3773,370,ZebPay,zebpay
3773,1009,Giottus,giottus
3773,425,WazirX,wazirx
3773,10946,XEX,xex
22974,270,Binance,binance
22974,521,Bybit,bybit
22974,9867,KCEX,kcex
22974,333,LBank,lbank
22974,6137,Toobit,toobit
22974,513,Bitget,bitget
22974,943,Hotcoin,hotcoin-global
22974,1653,ZOOMEX,zoomex
22974,5751,WEEX,weex
22974,9298,BiKing,biking
22974,1149,Crypto.com Exchange,crypto-com-exchange
22974,433,Bitrue,bitrue
22974,9218,Hibt,hibt
22974,406,BitMart,bitmart
22974,1064,BingX,bingx
22974,8125,OrangeX,orangex
22974,1645,Tapbit,tapbit
22974,501,WhiteBIT,whitebit
22974,10153,Ourbit,ourbit
22974,7302,Bitunix,bitunix
22974,525,XT.COM,xt
22974,790,Pionex,pionex
22974,302,Gate.io,gate-io
22974,544,MEXC,mexc
22974,10770,Aibit,aibit
22974,311,KuCoin,kucoin
22974,9606,BiFinance,bifinance-exchange
22974,9584,B2Z Exchange,b2z-exchange
22974,6472,Flipster,flipster
22974,10963,BITmarkets,bitmarkets
22974,24,Kraken,kraken
22974,955,Phemex,phemex
22974,350,CoinEx,coinex
22974,8563,BITFLEX,bitflex
22974,10846,TNNS PROX,tnns-prox
22974,9665,ZKE,zke
22974,8112,Hyperliquid,hyperliquid
22974,9365,AlphaX,alphax
22974,1375,Binance TR,binance-tr
22974,1561,Bit2Me,bit2me
22974,1289,WOO X,woox
22974,7451,CoinCatch,coincatch
22974,7893,Coinbase International Exchange,coinbase-international-exchange
22974,7845,Coincall,coincall
22974,834,Nominex,nominex
22974,9108,ChangeNOW,changenow
22974,1586,Drift Protocol,drift-protocol
22974,622,NovaDAX,novadax
22974,710,Tokocrypto,tokocrypto
22974,9662,Binance TH,binance-th
22974,9957,Cube Exchange,cube-exchange
22974,949,CoinDCX,coindcx
22974,6406,Bitlo,bitlo
22974,354,TradeOgre,tradeogre
22974,1707,Kujira Fin,kujira-fin
22974,1009,Giottus,giottus
5690,270,Binance,binance
5690,521,Bybit,bybit
5690,9867,KCEX,kcex
5690,294,OKX,okx
5690,333,LBank,lbank
5690,6137,Toobit,toobit
5690,513,Bitget,bitget
5690,943,Hotcoin,hotcoin-global
5690,9298,BiKing,biking
5690,1182,Deepcoin,deepcoin
5690,9218,Hibt,hibt
5690,406,BitMart,bitmart
5690,8125,OrangeX,orangex
5690,1645,Tapbit,tapbit
5690,7302,Bitunix,bitunix
5690,7085,Fairdesk,fairdesk
5690,102,HTX,htx
5690,9450,Zedxion Exchange,zedxion-exchange
5690,391,CoinTiger,cointiger
5690,302,Gate.io,gate-io
5690,544,MEXC,mexc
5690,351,Upbit,upbit
5690,89,Coinbase Exchange,coinbase-exchange
5690,6472,Flipster,flipster
5690,9717,Koinbay,koinbay
5690,350,CoinEx,coinex
5690,10846,TNNS PROX,tnns-prox
5690,9665,ZKE,zke
5690,8112,Hyperliquid,hyperliquid
5690,1375,Binance TR,binance-tr
5690,1289,WOO X,woox
5690,1612,Jupiter,jupiter
5690,7893,Coinbase International Exchange,coinbase-international-exchange
5690,1426,Orca,orca
5690,1348,Uniswap v3 (Ethereum),uniswap-v3
5690,520,Bitvavo,bitvavo
5690,10557,Raydium (CLMM),raydium-clmm
5690,9798,HashKey Global,hashkey-global
5690,225,Paribu,paribu
5690,1199,PointPay,pointpay
5690,500,Tokenize Xchange,tokenize-xchange
5690,9882,Meteora VD,meteora-vd
5690,1069,Uniswap v2,uniswap-v2
5690,1342,Raydium,raydium
5690,834,Nominex,nominex
5690,9384,BitDelta,bitdelta
5690,4098,QuickSwap v3 (Polygon),quickswap-v3
5690,1567,Uniswap v3 (Polygon),uniswap-v3-polygon
5690,436,Bitkub,bitkub
5690,1124,Bitazza,bitazza
5690,9883,Meteora VP,meteora-vp
5690,1586,Drift Protocol,drift-protocol
5690,68,Indodax,indodax
5690,710,Tokocrypto,tokocrypto
5690,9662,Binance TH,binance-th
5690,9957,Cube Exchange,cube-exchange
5690,723,Reku,rekeningku-com
5690,949,CoinDCX,coindcx
5690,9452,Backpack Exchange,backpack-exchange
5690,1215,Foxbit,foxbit
5690,1565,Balancer v2 (Polygon),balancer-v2-polygon
5690,802,digitalexchange.id,digitalexchange-id
5690,1187,DODO (Ethereum),dodo
6719,270,Binance,binance
6719,7680,DOEX,doex
6719,21,BTCC,btcc
6719,521,Bybit,bybit
6719,10361,CoinUp.io,coinup-io
6719,407,DigiFinex,digifinex
6719,1188,BYDFi,bydfi
6719,9867,KCEX,kcex
6719,294,OKX,okx
6719,333,LBank,lbank
6719,6137,Toobit,toobit
6719,513,Bitget,bitget
6719,9202,4E,4e
6719,6637,BloFin,blofin
6719,943,Hotcoin,hotcoin-global
6719,1653,ZOOMEX,zoomex
6719,1133,TruBit Pro Exchange,trubit-exchange
6719,9449,Bitoy,bitoy
6719,5751,WEEX,weex
6719,8961,BlueBit,bluebit
6719,1149,Crypto.com Exchange,crypto-com-exchange
6719,433,Bitrue,bitrue
6719,10771,BXTEN,bxten
6719,517,CoinW,coinw
6719,10702,Coin8 Exchange,coin8-exchange
6719,9218,Hibt,hibt
6719,406,BitMart,bitmart
6719,1064,BingX,bingx
6719,1247,FameEX,fameex
6719,8125,OrangeX,orangex
6719,8885,UEEx,ueex
6719,1645,Tapbit,tapbit
6719,501,WhiteBIT,whitebit
6719,10153,Ourbit,ourbit
6719,7302,Bitunix,bitunix
6719,7085,Fairdesk,fairdesk
6719,102,HTX,htx
6719,9450,Zedxion Exchange,zedxion-exchange
6719,525,XT.COM,xt
6719,790,Pionex,pionex
6719,302,Gate.io,gate-io
6719,544,MEXC,mexc
6719,8701,Millionero,millionero
6719,10770,Aibit,aibit
6719,351,Upbit,upbit
6719,5319,SuperEx,superex
6719,311,KuCoin,kucoin
6719,9586,Bitop,bitop
6719,89,Coinbase Exchange,coinbase-exchange
6719,9606,BiFinance,bifinance-exchange
6719,9584,B2Z Exchange,b2z-exchange
6719,10963,BITmarkets,bitmarkets
6719,1601,Bullish,bullish
6719,9015,Websea,websea
6719,658,BTSE,btse
6719,24,Kraken,kraken
6719,955,Phemex,phemex
6719,453,AscendEX (BitMax),ascendex
6719,350,CoinEx,coinex
6719,339,Bibox,bibox
6719,7850,Bitcastle,bitcastle
6719,8563,BITFLEX,bitflex
6719,200,Bithumb,bithumb
6719,937,Biconomy.com,biconomy
6719,10109,Niza Global,niza-global
6719,477,ProBit Global,probit-exchange
6719,1117,Azbit,azbit
6719,9217,GroveX,grovex
6719,16,Poloniex,poloniex
6719,415,Bilaxy,bilaxy
6719,1161,BIT,bit-com
6719,380,LATOKEN,latoken
6719,9365,AlphaX,alphax
6719,1131,Bitcoiva,bitcoiva
6719,1375,Binance TR,binance-tr
6719,1561,Bit2Me,bit2me
6719,1289,WOO X,woox
6719,7451,CoinCatch,coincatch
6719,37,Bitfinex,bitfinex
6719,70,Bitstamp,bitstamp
6719,8790,dYdX v4,dydx-v4
6719,699,Currency.com,currency-com
6719,520,Bitvavo,bitvavo
6719,1371,Globe Derivative Exchange,globe-derivative-exchange
6719,42,HitBTC,hitbtc
6719,154,Dex-Trade,dex-trade
6719,225,Paribu,paribu
6719,1199,PointPay,pointpay
6719,7845,Coincall,coincall
6719,500,Tokenize Xchange,tokenize-xchange
6719,857,FMFW.io,bitcoin-com-exchange
6719,867,Qmall Exchange,qmall
6719,1222,Gleec BTC,gleec-btc
