iter	RMSE
0	0.9400368775
1	0.882374618
2	0.8272827177
3	0.7763031143
4	0.7289917839
5	0.6845863249
6	0.6446773752
7	0.6063452407
8	0.5703682373
9	0.5363730588
10	0.5049522699
11	0.4764151467
12	0.4503019528
13	0.4270980305
14	0.4039903111
15	0.38284471
16	0.3633091426
17	0.3449665301
18	0.3285633046
19	0.3132097505
20	0.2990413637
21	0.2857069436
22	0.2735041648
23	0.262512516
24	0.2526784858
25	0.2437801206
26	0.2355723164
27	0.2277455602
28	0.2207582275
29	0.2143153877
30	0.2087350929
31	0.203831894
32	0.1992258227
33	0.194970291
34	0.1908458118
35	0.1874578587
36	0.1843329085
37	0.1816463772
38	0.1791208595
39	0.17693576
40	0.1746635067
41	0.172757807
42	0.1709877533
43	0.1694817897
44	0.1680779158
45	0.1667292767
46	0.1653922902
47	0.1644271164
48	0.1634041477
49	0.162587888
50	0.1615445527
51	0.1607404735
52	0.1600717828
53	0.1594248092
54	0.1585397016
55	0.1578235535
56	0.1573204353
57	0.1567338208
58	0.1562255167
59	0.1556813659
60	0.1552083052
61	0.1546647039
62	0.1541940635
63	0.1537192212
64	0.1532430058
65	0.1528361714
66	0.1524776197
67	0.1520536661
68	0.1516363327
69	0.1512682336
70	0.1509575294
71	0.1506645427
72	0.1503930859
73	0.1499172852
74	0.1495245314
75	0.1491979514
76	0.1489460177
77	0.1487093493
78	0.1484575844
79	0.1481553293
80	0.1479408044
81	0.1476911913
82	0.1475055954
83	0.1473543654
84	0.1471406455
85	0.1469399261
86	0.1466634425
87	0.1464172685
88	0.1462169906
89	0.1459634463
90	0.1458044672
91	0.1455685437
92	0.1453036081
93	0.1451585538
94	0.1449224382
95	0.1448143476
96	0.1445417202
97	0.14437907
98	0.1441935821
99	0.1438476771
100	0.1436262802
101	0.1434571818
102	0.1432385748
103	0.1430711817
104	0.1428289964
105	0.1426808252
106	0.1424799411
107	0.142350241
108	0.142234433
109	0.142133807
110	0.1419966561
111	0.1417548039
112	0.1414907948
113	0.1413555236
114	0.1411831851
115	0.1409776232
116	0.1409041359
117	0.1406195422
118	0.1404659045
119	0.140320635
120	0.1401248576
121	0.1399689251
122	0.1397202422
123	0.1395606495
124	0.1393522724
125	0.1391468312
126	0.1388817751
127	0.138724634
128	0.1386199965
129	0.1384181485
130	0.1381959222
131	0.1380983519
132	0.137993637
133	0.1377703463
134	0.1376660788
135	0.137510338
136	0.13720646
137	0.136976846
138	0.1368821607
139	0.1366273249
140	0.136460986
141	0.1363798071
142	0.1362841038
143	0.1360996029
144	0.1359930467
145	0.1358881646
146	0.1356722996
147	0.1354876071
148	0.1352723709
149	0.1351492608
150	0.1350585699
151	0.1349312209
152	0.1347324528
153	0.1345801353
154	0.1344148074
155	0.1343220684
156	0.1341327364
157	0.1339985552
158	0.133929767
159	0.1337975822
160	0.1336548448
161	0.133494451
162	0.1332943393
163	0.1332084433
164	0.133113065
165	0.1330344284
166	0.1329181203
167	0.1327970731
168	0.1326372061
169	0.1325365931
170	0.1324049097
171	0.1322614437
172	0.1321601259
173	0.1319735813
174	0.1318642747
175	0.1317660529
176	0.1316792109
177	0.1315801432
178	0.1314457258
179	0.1312632027
180	0.1311718866
181	0.1310890706
182	0.1310029437
183	0.1309125282
184	0.1307973771
185	0.1307015036
186	0.1304852407
187	0.1304083782
188	0.1302644746
189	0.130211199
190	0.1300831332
191	0.1299936646
192	0.1299239502
193	0.1298009695
194	0.1296783717
195	0.1295604409
196	0.1294570239
197	0.1293568282
198	0.1292498631
199	0.1291222781
200	0.1290715758
201	0.1289559036
202	0.1288620817
203	0.128694155
204	0.1286099434
205	0.1285391399
206	0.1284608839
207	0.1283745709
208	0.1282946244
209	0.1281894516
210	0.128115084
211	0.1279889409
212	0.127896732
213	0.1278190852
214	0.1277603737
215	0.1276188324
216	0.1275145822
217	0.127368814
218	0.1272449321
219	0.1271726525
220	0.1271028696
221	0.127003446
222	0.1269461955
223	0.1268321918
224	0.1267051629
225	0.1266146097
226	0.1264517884
227	0.1263023784
228	0.1262276719
229	0.1261169218
230	0.1260806003
231	0.1260190292
232	0.1259033547
233	0.1258131751
234	0.1257372784
235	0.1256846423
236	0.1256355671
237	0.1255702233
238	0.1255396619
239	0.1254158044
240	0.1253645031
241	0.1252403522
242	0.1251633598
243	0.1250903114
244	0.1249778724
245	0.124875518
246	0.1247839389
247	0.1246879478
248	0.1245881936
249	0.1244951336
250	0.1244154361
251	0.1243028004
252	0.1242361189
253	0.1242022173
254	0.1241142372
255	0.1240031704
256	0.1239121391
257	0.1238400469
258	0.1237777895
259	0.1237157748
260	0.1236262609
261	0.1235518209
262	0.1234805856
263	0.1234143794
264	0.1233385852
265	0.1232471106
266	0.1231801311
267	0.1231442912
268	0.1229808275
269	0.122951341
270	0.1228545357
271	0.1227830176
272	0.1226925347
273	0.1226190844
274	0.1224344592
275	0.1223156045
276	0.1222355347
277	0.1221534281
278	0.1221002971
279	0.1220171862
280	0.1219401841
281	0.1218377255
282	0.1217436215
283	0.121619609
284	0.121555223
285	0.1214904555
286	0.12138851
287	0.1212927501
288	0.1211534651
289	0.1210829483
