iter	Passed	Remaining
0	4	4566
1	8	4405
2	12	4135
3	16	4144
4	20	4036
5	24	3995
6	27	3930
7	31	3919
8	35	3900
9	39	3908
10	43	3919
11	47	3890
12	51	3916
13	55	3887
14	59	3899
15	63	3911
16	68	3944
17	72	3969
18	77	3980
19	80	3959
20	85	3985
21	89	3967
22	93	3968
23	97	3984
24	102	4001
25	107	4015
26	111	4026
27	116	4035
28	120	4047
29	125	4054
30	130	4078
31	134	4082
32	139	4092
33	144	4114
34	149	4120
35	153	4120
36	158	4115
37	162	4122
38	167	4126
39	171	4121
40	175	4109
41	180	4108
42	184	4111
43	189	4107
44	193	4107
45	197	4105
46	202	4107
47	207	4109
48	211	4106
49	216	4110
50	222	4132
51	227	4150
52	236	4222
53	241	4238
54	248	4267
55	254	4290
56	260	4306
57	266	4329
58	271	4327
59	276	4324
60	280	4325
61	285	4316
62	289	4311
63	295	4323
64	302	4352
65	308	4359
66	313	4362
67	331	4545
68	342	4627
69	349	4649
70	358	4695
71	365	4714
72	374	4759
73	382	4780
74	391	4831
75	398	4838
76	403	4842
77	409	4837
78	415	4844
79	422	4864
80	431	4891
81	436	4885
82	440	4869
83	445	4860
84	450	4846
85	455	4835
86	459	4820
87	463	4807
88	467	4789
89	471	4771
90	476	4758
91	480	4743
92	484	4729
93	489	4716
94	493	4698
95	496	4677
96	500	4656
97	504	4641
98	507	4623
99	511	4605
100	515	4589
101	521	4588
102	525	4575
103	529	4564
104	534	4552
105	538	4541
106	542	4531
107	547	4522
108	551	4511
109	556	4499
110	560	4485
111	563	4470
112	568	4458
113	571	4444
114	575	4431
115	580	4420
116	584	4414
117	589	4402
118	592	4386
119	596	4374
120	600	4361
121	604	4347
122	607	4333
123	611	4322
124	616	4313
125	620	4303
126	624	4294
127	628	4284
128	633	4278
129	637	4267
130	642	4259
131	647	4258
132	651	4249
133	656	4245
134	661	4238
135	666	4231
136	670	4224
137	675	4219
138	680	4212
139	684	4204
140	688	4195
141	693	4187
142	697	4181
143	702	4177
144	707	4172
145	713	4172
146	718	4167
147	723	4163
148	727	4155
149	732	4153
150	737	4146
151	742	4140
152	746	4134
153	750	4124
154	754	4113
155	758	4101
156	762	4093
157	766	4083
158	770	4074
159	774	4064
160	777	4053
161	781	4043
162	785	4033
163	789	4025
164	794	4020
165	798	4013
166	802	4003
167	807	3996
168	811	3989
169	815	3981
170	819	3970
171	823	3963
172	827	3955
173	831	3948
174	835	3939
175	839	3932
176	843	3922
177	847	3915
178	851	3906
179	855	3897
180	860	3891
181	864	3884
182	868	3877
183	872	3869
184	876	3861
185	880	3853
186	884	3846
187	888	3838
188	892	3829
189	896	3821
190	900	3812
191	904	3805
192	908	3799
193	912	3790
194	916	3782
195	919	3773
196	923	3766
197	927	3758
198	931	3750
199	936	3745
200	940	3736
201	943	3728
202	947	3718
203	951	3710
204	955	3703
205	958	3694
206	962	3686
207	966	3678
208	970	3672
209	974	3665
210	978	3657
211	981	3649
212	985	3641
213	988	3631
214	992	3623
215	996	3615
216	1000	3609
217	1003	3601
218	1007	3592
219	1011	3585
220	1014	3577
221	1018	3570
222	1022	3563
223	1026	3556
224	1030	3549
225	1035	3545
226	1038	3537
227	1042	3530
228	1046	3523
229	1050	3516
230	1053	3508
231	1057	3501
232	1062	3496
233	1066	3490
234	1070	3485
235	1074	3478
236	1078	3472
237	1083	3468
238	1087	3461
239	1091	3456
240	1095	3451
241	1099	3444
242	1103	3438
243	1108	3433
244	1112	3428
245	1117	3424
246	1121	3419
247	1126	3415
248	1131	3412
249	1136	3408
250	1140	3403
251	1144	3397
252	1148	3391
253	1153	3386
254	1157	3381
255	1161	3375
256	1165	3370
257	1170	3366
258	1174	3360
259	1179	3355
260	1183	3351
261	1187	3346
262	1192	3341
263	1202	3353
264	1219	3381
265	1230	3394
266	1237	3396
267	1249	3411
268	1268	3446
269	1278	3457
270	1286	3460
271	1293	3462
272	1298	3457
273	1302	3450
274	1308	3450
275	1315	3451
276	1320	3446
277	1324	3440
278	1328	3433
279	1332	3426
280	1336	3418
281	1339	3411
282	1343	3403
283	1347	3396
284	1350	3389
285	1355	3383
286	1359	3377
287	1363	3370
288	1367	3364
289	1370	3356
290	1374	3348
291	1377	3340
292	1381	3334
293	1385	3327
294	1389	3320
295	1393	3313
296	1396	3305
297	1400	3298
298	1403	3291
299	1407	3283
300	1410	3276
301	1414	3269
302	1418	3263
303	1422	3257
304	1426	3250
305	1430	3243
306	1433	3236
307	1437	3228
