id,name,symbol,slug
6535,NEAR Protocol,NEAR,near-protocol
8916,Internet Computer,ICP,internet-computer
3773,Artificial Superintelligence Alliance,FET,artificial-superintelligence-alliance
5690,Render,RENDER,render
22974,Bittensor,TAO,bittensor
6719,The Graph,GRT,the-graph
2416,Theta Network,THETA,theta-network
7326,DeXe,DEXE,dexe
9104,AIOZ Network,AIOZ,aioz-network
24911,Turbo,TURBO,turbo
1455,Golem,GLM,golem-network-tokens
30083,Aethir,ATH,aethir
29835,io.net,IO,io-net
27565,Arkham,ARKM,arkham
2467,OriginTrail,TRAC,origintrail
3029,Flux,FLUX,zel
29169,Qubic,QUBIC,qubic
29884,Destra Network,DSYNC,destra-network
2545,Arcblock,ABT,arcblock
5647,Kadena,KDA,kadena
5899,Casper,CSPR,casper
9260,Zignaly,ZIG,zigcoin
28076,Ozone Chain,OZO,ozone-chain
17917,RSS3,RSS3,rss3
23355,0x0.ai,0x0,0x0-ai-ai-smart-contract
24007,Delysium,AGI,delysium
1637,iExec RLC,RLC,rlc
1732,Numeraire,NMR,numeraire
5113,inSure DeFi,SURE,insure
7497,Marlin,POND,marlin
16612,Nosana,NOS,nosana
2930,IQ,IQ,iq
28846,Sleepless AI,AI,sleepless-ai
5908,dKargo,DKA,dkargo
19055,Solidus Ai Tech,AITECH,solidus-ai-tech
6841,Phala Network,PHA,phala-network
22764,Hooked Protocol,HOOK,hooked-protocol
7533,Oraichain,ORAI,oraichain-token
29447,NetMind Token,NMT,netmind-token
13969,Phoenix,PHB,phoenix-global-new
8258,CUDOS,CUDOS,cudos
28778,NFPrompt,NFP,nfprompt
16876,Artificial Liquid Intelligence,ALI,alethea-artificial-liquid-intelligence-token
24476,LimeWire,LMWR,limewire
28299,TokenFi,TOKEN,tokenfi
20622,Forta,FORT,forta
9720,PlatON,LAT,platon
12041,Dimitra,DMTR,dimitra
2143,Streamr,DATA,streamr
29104,DecideAI,DCD,decideai
6138,DIA,DIA,dia
5821,Aleph.im,ALEPH,aleph-im
2638,Cortex,CTXC,cortex
28567,PaLM AI,PALM,palm-ai
14822,Victoria VR,VR,victoria-vr
3816,Verasity,VRA,verasity
29420,Virtuals Protocol,VIRTUAL,virtual-protocol
2398,SelfKey,KEY,selfkey
30177,LinqAI,LNQ,linqai
2866,Sentinel Protocol,UPP,sentinel-protocol
2348,Measurable Data Token,MDT,measurable-data-token
15463,SIDUS,SIDUS,sidus
13521,Numbers Protocol,NUM,numbers-protocol
8479,VAIOT,VAI,vaiot
5410,PARSIQ,PRQ,parsiq
9638,SingularityDAO,SDAO,singularitydao
9029,Graphlinq Chain,GLQ,graphlinq-protocol
4441,Vectorspace AI,VXV,vectorspace-ai
1037,Agoras: Currency of Tau,AGRS,agoras-tokens
4710,Cere Network,CERE,cere-network
29331,OORT,OORT,oortech
16711,GT Protocol,GTAI,gt-protocol
28882,AIT Protocol,AIT,ait-protocol
14345,Botto,BOTTO,botto
10469,iMe Lab,LIME,ime-lab
29445,zKML,ZKML,zkml
10891,Only1,LIKE,only1
13198,NuNet,NTX,nunet
29734,Zero1 Labs,DEAI,zero1-labs
29509,Commune AI,COMAI,commune-ai
29576,QnA3.AI,GPT,qna3ai
29978,Apeiron,APRS,apeiron
28446,SPECTRE AI,SPECTRE,spectre-ai
19650,Volt Inu,VOLT,volt-inu-v2
19118,Lumerin,LMR,lumerin
25419,HyperGPT,HGPT,hypergpt
16434,Ooki Protocol,OOKI,ooki-protocol
2316,DeepBrain Chain,DBC,deepbrain-chain
22892,Atlas Navi,NAVI,atlas-navi
28868,GameGPT,DUEL,duel
28245,Openfabric AI,OFN,openfabric-ai
31008,Three Protocol Token,THREE,three-protocol-token
29750,HotKeySwap,HOTKEY,hotkeyswap
20009,DexCheck AI,DCK,dexcheck
2474,Matrix AI Network,MAN,matrix-ai-network
14336,TRVL,TRVL,trvl
19778,Step App,FITFI,step-app
29370,Ta-da,TADA,ta-da
2558,Insights Network,INSTAR,insights-network
28670,Crypto-AI-Robo.com,CAIR,crypto-ai-robo
2827,Phantasma,SOUL,phantasma
3768,PIBBLE,PIB,pibble
6933,Nuco.cloud,NCDT,nuco-cloud
8708,Big Data Protocol,BDP,big-data-protocol
25479,Bad Idea AI,BAD,bad-idea-ai
28559,bitsCrunch,BCUT,bitscrunch
23300,AIPAD,AIPAD,aipad
9954,Netvrk,NETVR,netvrk
23794,Optimus AI,OPTI,optimus-ai
12148,Swash,SWASH,swash
4360,FABRK,FAB,fabrk
13916,Omax Coin,OMAX,omax-token
4757,Robonomics.network,XRT,robonomics-network
7411,Covalent,CQT,covalent
22977,imgnAI,IMGNAI,image-generation-ai
7096,Bridge Oracle,BRG,bridge-oracle
15240,SENATE,SENATE,senate
8963,UnMarshal,MARSH,unmarshal
2245,Presearch,PRE,presearch
29106,TypeAI,TYPE,typeai
29281,Edge Matrix Computing,EMC,edge-matrix-computing
10103,Lossless,LSS,lossless
26016,Cogito Finance,CGV,cogito-protocol
24839,Mozaic,MOZ,mozaic
3657,Lambda,LAMB,lambda
28542,Morpheus Infrastructure Node,MIND,morpheus-labs-v2
8849,AXIS Token,AXIS,axis-token
28734,AIgentX,AIX,aigentx
9865,Ispolink,ISP,ispolink
8320,PolkaBridge,PBR,polkabridge
7059,Mobilian Coin,MBN,mobilian-coin
7860,ClinTex CTi,CTI,clintex-cti
2666,Effect AI,EFX,effect-ai
29517,Lush AI,LUSH,lush-ai
20188,MBD Financials,MBD,mbd-financials
4804,ROOBEE,ROOBEE,roobee
21722,Chirpley,CHRP,chirpley
9553,B-cube.ai,BCUBE,b-cube-ai
2675,Dock,DOCK,dock
10973,PureFi Protocol,UFI,purefi-protocol
3139,DxChain Token,DX,dxchain-token
30196,Neurahub,NEURA,neurahub
1777,CryptoPing,PING,cryptoping
14133,WAM,WAM,wam-app
10046,Dotmoovs,MOOV,dotmoovs
1298,LBRY Credits,LBC,library-credits
4060,TrustVerse,TRV,trustverse
3936,GNY,GNY,gny
10527,Lithium,LITH,lithium
29157,ApeBond,ABOND,apebond
5836,Idena,IDNA,idena
3052,GoCrypto Token,GOC,gocrypto-token
8875,Uno Re,UNO,unore
11209,TRAVA.FINANCE,TRAVA,trava-finance
8509,XMON,XMON,xmon
2275,ProChain,PRA,prochain
7795,Bird.Money,BIRD,bird-money
23684,Aimedis (new),AIMX,aimedis-new
11578,Cirus Foundation,CIRUS,cirus-foundation
11563,aiRight,AIRI,airight
15889,Metaverse Face,MEFA,metaverse-face
2900,Project Pai,PAI,project-pai
4469,MineBee,MB,minebee
28436,Neurashi,NEI,neurashi
27194,Gemach,GMAC,gemach
22487,Artisse,CATHEON,catheon-gaming
22919,All In,ALLIN,all-in
7587,UTU Protocol,UTU,utu-protocol
24742,BullBear AI,AIBB,bullbear-ai
4067,Cryptoindex.com 100,CIX100,cryptoindex-com-100
3636,Link Machine Learning,LML,link-machine-learning
2166,Ties.DB,TIE,tiesdb
12778,Ojamu,OJA,ojamu
6120,Anchor Neural World,ANW,anchor-neural-world
6218,Arcona,ARCONA,arcona
21731,MetamonkeyAi,MMAI,metamonkeyai
3880,OceanEx Token,OCE,oceanex-token
9173,Raze Network,RAZE,raze-network
2283,Datum,DAT,datum
2334,BitClave,CAT,bitclave
2580,Leadcoin,LDC,leadcoin
12350,Triall,TRL,triall
6938,YFDAI.FINANCE,YF-DAI,yfdai-finance
2646,AdHive,ADH,adhive
2309,SophiaTX,SPHTX,sophiatx
3734,Elamachain,ELAMA,elamachain
7255,Aitra,AITRA,aitra
3154,Davinci Coin,DAC,davinci-coin
5086,Pawtocol,UPI,pawtocol
3140,Ubex,UBEX,ubex
2357,AI Doctor,AIDOC,aidoc
2567,DATx,DATX,datx
6039,Connectome,CNTM,connectome
2224,POLY AI,AI,poly-ai
22782,Aventis Metaverse,AVTM,aventis-metaverse
29456,Dtec,DTEC,dtec-token
29488,Octavia AI,VIA,octavia
29508,VirtuSwap,VRSW,virtuswap
29510,Balance AI,BAI,balance-ai
29514,BuildAI,BUILD,buildai
23075,Acria.AI,ACRIA,acria
29515,MultiDEX AI,MDX,multidex-ai
29516,AlphaKEK.AI,AIKEK,alphakek-ai
23260,KWAI,KWAI,kwai-labs
28834,Mind,MND,mind
29518,VectorChat.ai,CHAT,vectorchat-ai
29536,Oracle AI,ORACLE,oracle-ai
23354,Neuroni AI,NEURONI,neuroni-ai
29565,InspireAI,INSP,inspireai
28902,AI PIN,AI,ai-pin
29591,Website AI,WEBAI,website-ai
28931,LNDRY,LNDRY,lndry
28953,Purple AI,PAI,purple-ai
29593,AstraAI,ASTRA,astraai
23434,Black Rabbit AI,BRAIN,black-rabbit-ai
29608,Grow Token,GROW,grow-token
29646,PaladinAI,PALAI,paladinai
29748,Vuzz AI,VUZZ,vuzz-mind
23701,McPepe's,PEPES,mcpepes
29161,BurnifyAI,BURNIFYAI,burnifyai
29837,Ring AI,RING,ring-ai
29856,AITK,AITK,aitk
8230,AI Network,AIN,ai-network
23846,LayerAI,LAI,cryptogpt
8278,VEROX,VRX,verox
27260,Cipher Protocol,CIPHER,cipher-protocol
23922,Roko,ROKO,roko
30336,infraX,INFRA,infrax
23955,Chat AI,AI,chat-ai
30432,Next Gem AI,GEMAI,the-next-gem
23997,AlphaRush AI,rushAI,alpharush
30528,NeuralAI,NEURAL,neuralai
30592,Resistor AI,TOR,resistor-ai
8467,Uberstate RIT 2.0,RIT20,uberstate-inc
30732,Acria.AI AIMARKET,AIMARKET,acria-ai-aimarket
27591,Liza,LIZA,liza
31077,Y8U,Y8U,y8u
31401,Eternal AI,EAI,eternalai-org
27925,AlphaScan AI,ASCN,alphascan
24489,enqAI,enqAI,noisegpt
31543,XANA,XETA,xana-new
32925,Spectral,SPEC,spectral
24523,Midway AI,MIDAI,midway-ai
17724,Trace Network Labs,TRACE,trace-network-labs
18745,inheritance Art,IAI,inheritance-art
28458,Autonolas,OLAS,autonolas
5807,Release Project,REL,release-project
24981,KAELA Network,KAE,kaela-network
18997,Quadency,QUAD,quadency
25261,Jackal Protocol,JKL,jackal-protocol
