id,name,symbol,slug
10603,Immutable,IMX,immutable-x
10804,FLOKI,FLOKI,floki-inu
28850,Notcoin,NOT,notcoin
28298,Beam,BEAM,onbeam
6892,MultiversX,EGLD,multiversx-egld
6783,Axie Infinity,AXS,axie-infinity
7080,Gala,GALA,gala
6210,The Sandbox,SAND,the-sandbox
23635,BinaryX,BNX,binaryx-new
1966,Decentraland,MANA,decentraland
14101,Ronin,RON,ronin
18876,ApeCoin,APE,apecoin-ape
8290,SuperVerse,SUPER,superfarm
7548,WEMIX,WEMIX,wemix
10407,Baby Doge Coin,BabyDoge,baby-doge-coin
18069,GMT,GMT,green-metaverse-token
23711,Echelon Prime,PRIME,echelon-prime
2130,Enjin Coin,ENJ,enjin-coin
30372,Saga,SAGA,saga
28230,Big Time,BIGTIME,big-time
5691,SKALE,SKL,skale-network
8719,Illuvium,ILV,illuvium
3978,Chromia,CHR,chromia
10180,Gomining,Gomining,gomining-token
29335,Pixels,PIXEL,pixels
10688,Yield Guild Games,YGG,yield-guild-games
5647,Kadena,KDA,kadena
28933,Xai,XAI,xai-games
7798,Decentral Games [Old],DG,decentral-games-old
2300,WAX,WAXP,wax
30963,Zentry,ZENT,zentry
14783,Treasure,MAGIC,magic-token
29273,Matr1x Fire,FIRE,matr1x-fire
11374,Mines of Dalarnia,DAR,mines-of-dalarnia
28674,Fusionist,ACE,fusionist
3801,BORA,BORA,bora
29555,Portal,PORTAL,portal-gaming
22764,Hooked Protocol,HOOK,hooked-protocol
12749,Nakamoto Games,NAKA,nakamoto-games
7064,BakeryToken,BAKE,bakerytoken
22359,XPLA,XPLA,xpla
8972,Seedify.fund,SFUND,seedify-fund
8766,MyNeighborAlice,ALICE,myneighboralice
22461,Hashflow,HFT,hashflow
8258,CUDOS,CUDOS,cudos
9674,Wilder World,WILD,wilder-world
29933,Undeads Games,UDS,undeads-games
10631,Gods Unchained,GODS,gods-unchained
9175,MOBOX,MBOX,mobox
11346,RACA,RACA,radio-caca
6951,Reef,REEF,reef
22289,Myria,MYRIA,myria
28829,Heroes of Mavia,MAVIA,heroes-of-mavia
21351,Sweat Economy,SWEAT,sweat-economy
9119,Alien Worlds,TLM,alien-worlds
6554,GamerCoin,GHX,gamercoin
8615,Ethernity Chain,ERN,ethernity-chain
7046,Aavegotchi,GHST,aavegotchi
31704,Pirate Nation,PIRATE,pirate-nation
31504,Ultiverse,ULTI,ultiverse
11213,Star Atlas DAO,POLIS,star-atlas-polis
32506,Matr1x,MAX,matr1x
22710,VIDT DAO,VIDT,vidt-dao
17145,League of Kingdoms Arena,LOKA,league-of-kingdoms
1757,FUNToken,FUN,funtoken
10746,Biswap,BSW,biswap
11212,Star Atlas,ATLAS,star-atlas
14822,Victoria VR,VR,victoria-vr
3816,Verasity,VRA,verasity
4189,Ultra,UOS,ultra
15678,Voxies,VOXEL,voxies
30825,KARRAT,KARRAT,karrat
23397,Games for a Living,GFAL,games-for-a-living
4275,COMBO,COMBO,combo-network
7461,PlayDapp,PDA,playdapp
11783,GameFi.org,GAFI,gamefi
15463,SIDUS,SIDUS,sidus
14136,Zukiverse,ZUKI,zuki-moba
29241,GameStop,GME,gme
28479,The Root Network,ROOT,the-root-network
7158,BurgerCities,BURGER,burger-cities
28249,ZTX,ZTX,ztx
10630,Guild of Guardians,GOG,guild-of-guardians
26032,Moon Tropica,CAH,moon-tropica
15563,Cornucopias,COPI,cornucopias
4710,Cere Network,CERE,cere-network
30950,MON Protocol,MON,mon
17000,Creo Engine,CREO,creo-engine
9103,GAMEE,GMEE,gamee
9637,Altura,ALU,altura
11367,Aurory,AURY,aurory
10744,zkRace,ZERC,derace
12319,DeFi Kingdoms,JEWEL,defi-kingdoms
29037,Gaimin,GMRX,gaimin
15142,Katana Inu,KATA,katana-inu
20497,WAGMI Games,WAGMIGAMES,wagmi-game-2
29978,Apeiron,APRS,apeiron
19650,Volt Inu,VOLT,volt-inu-v2
24050,Pomerium,PMG,pomerium-ecosystem-token
17588,BADMAD ROBOTS,METAL,drunk-robots
29574,Ben the Dog,BENDOG,ben-the-dog
22320,HELLO Labs,HELLO,hello-labs
7590,Dvision Network,DVI,dvision-network
19722,BreederDAO,BREED,breederdao
11035,Splintershards,SPS,splintershards
10729,UFO Gaming,UFO,ufo-gaming
28868,GameGPT,DUEL,duel
29461,Devve,DEVVE,devve
31185,Cross The Ages,CTA,cross-the-ages
9194,Saito,SAITO,saito
24381,Octokn,OTK,octo-gaming
9656,CateCoin,CATE,catecoin
24303,Metacade,MCADE,metacade
29487,Bag.win,BAG,bag-coin
1883,Adshares,ADS,adshares
8985,Efinity Token,EFI,efinity
16678,NFT Worlds,WRLD,nft-worlds
19778,Step App,FITFI,step-app
9892,YooShi,YOOSHI,yooshi
18795,KOMPETE,KOMPETE,kompete
12727,Doge Dash,DOGEDASH,doge-dash
29605,GAM3S.GG,G3,gam3s-gg
22331,Farcana,FAR,farcana
18345,QORPO WORLD,QORPO,qorpo
2827,Phantasma,SOUL,phantasma
22556,PlayZap,PZP,playzap
13011,UNKJD,MBS,unkjd
6865,Crypton,CRP,utopia
11871,GameZone,GZONE,gamezone
29203,BLOCKLORDS,LRDS,blocklords
27996,MetaTrace,TRC,metatrace
20886,Astrafer,ASTRAFER,astrafer
30230,Pikamoon,PIKA,pikamoon-pika
26863,PLAYA3ULL GAMES,3ULL,playa3ull
9954,Netvrk,NETVR,netvrk
8378,Akita Inu,AKITA,akita-inu
6993,REVV,REVV,revv
13632,Genopets,GENE,genopets
10047,EPIK Prime,EPIK,epik-prime
21916,ISKRA Token,ISK,iskra
28363,Shrapnel,SHRAP,shrapnel-com
8438,Hoge Finance,HOGE,hoge-finance
27445,GameSwift,GSWIFT,gameswift
3908,Decimated,DIO,decimated
26585,PLANET,PLANET,planettoken
28647,Catboy,CATBOY,cat-boy
30433,BlockGames,BLOCK,blockgames
15721,MagicCraft,MCRT,magiccraft
8399,Lotto,LOTTO,lotto
15240,SENATE,SENATE,senate
22050,Medieval Empires,MEE,medieval-empires
7588,Gameswap,GSWAP,gameswap
29482,Smart Layer Network,SLN,smart-layer-network
12487,Dark Frontiers,DARK,dark-frontiers
10294,DeFi Land,DFL,defi-land
19519,BRN Metaverse,BRN,brn-metaverse
25033,Orbofi AI,OBI,orbofi-ai
12813,Sinverse,SIN,sincity-token
23555,YOM,YOM,your-open-metaverse
4978,Wownero,WOW,wownero
31629,BloodLoop,BLS,bloodloop
8620,TOWER,TOWER,tower-token
28543,Dypius [New],DYP,defi-yield-protocol-v2
24106,Reality Metaverse,RMV,reality-metaverse
28867,Reboot,GG,reboot
31297,Bubble,BUBBLE,bubble-imaginaryones
11926,Thetan World,THG,thetan-arena
8163,Exeedme,XED,exeedme
11560,DeHub,DHB,dehub
10861,Gamestarter,GAME,gamestarter
16057,Blink Galaxy,GQ,outer-ring-mmo-gq
5541,Xaya,CHI,xaya
2149,Unikoin Gold,UKG,unikoin-gold
14722,DOGAMÍ,DOGA,dogami
11990,Medacoin,MEDA,medacoin
10334,BabySwap,BABY,babyswap
28518,Morra,MORRA,morra
17073,Affyn,FYN,affyn
6709,Vidya,VIDYA,vidya
9488,ZooKeeper,ZOO,zookeeper
14145,holoride,RIDE,holoride
9665,My DeFi Pet,DPET,my-defi-pet
31165,MetalCore,MCG,metalcore
17605,Aether Games,AEG,aethergames
23780,Decentrawood,DEOD,decentrawood
20997,Wombat Web 3 Gaming Platform,WOMBAT,wombat-web-3-gaming-platform
22680,DinoLFG,DINO,dinolfg
20382,Battle World,BWO,battle-world
9461,X World Games,XWG,x-world-games
31463,LandRocker,LRT,landrocker
14133,WAM,WAM,wam-app
10046,Dotmoovs,MOOV,dotmoovs
12240,MARS4,MARS4,mars4
18354,Rebel Bots,RBLS,rebel-bots
12722,Cryowar,CWAR,cryowar
9200,Revomon,REVO,revomon
27862,Veloce,VEXT,veloce-vext
31074,Crypto Unicorns,CU,crypto-unicorns
9866,FEAR,FEAR,fear-nfts
11925,Monsta Infinite,MONI,monsta-infinite
6891,Niftyx Protocol,SHROOM,niftyx-protocol
18330,VisionGame,VISION,vision-game
8648,ChainGuardians,CGG,chain-guardians
15585,GuildFi,GF,guildfi
10040,Wall Street Games (old),WSG,wall-street-games
14681,Fabwelt,WELT,fabwelt
9545,NFTb,NFTB,nftb
30772,Exverse,EXVG,exverse
17462,Heroes Chained,HEC,heroes-chained
18871,Rainbow Token,RBW,rainbowtoken
9958,SafeMoon Inu,SMI,safemoon-inu
30490,Planet Mojo,MOJO,planet-mojo
3336,IQeon,IQN,iqeon
31320,Sekuya Multiverse,SKYA,sekuya-multiverse
1715,MobileGo,MGO,mobilego
28128,Captain Tsubasa,TSUGT,captain-tsubasa
1603,Databits,DTB,databits
11309,OneRare Foodverse,ORARE,onerare
8429,Clash Token,SCT,clash-token
10704,Binamon,BMON,binamon
10622,XCarnival,XCV,xcarnival
22484,Eldarune,ELDA,eldarune
29648,Wall Street Games,WSG,wall-street-games-new
14915,Unix Gaming,UNIX,unix-gaming
12751,Blockchain Monster Hunt,BCMC,blockchain-monster-hunt
11663,Elemon,ELMON,elemon
29603,Icon.X World,ICNX,icon-x-world
9962,STARSHIP,STARSHIP,starship
28725,Meme Alliance,MMA,meme-alliance
30001,Castle of Blackwater,COBE,castle-of-blackwater
23191,Kingdomverse,KING,kingdomverse
7776,Vanilla Network,VNLA,vanilla-network
7342,Wrapped Origin Axie,WOA,wrapped-origin-axie
11779,Dreams Quest,DREAMS,dreams-quest
24363,The Unfettered Ecosystem,SOULS,the-unfettered
24728,Magical Blocks,MBLK,magical-blocks
10953,Kaby Arena,KABY,kaby-arena
21621,Legends of Elysium,LOE,legends-of-elysium
8968,Protocol Monsters,PMON,polkamon
11978,Revolve Games,RPG,revolve-games
22487,Artisse,CATHEON,catheon-gaming
12278,Playermon,PYM,playermon
