,name,symbol,slug
0,NEAR Protocol,NEAR,near-protocol
1,Internet Computer,ICP,internet-computer
2,Artificial Superintelligence Alliance,FET,artificial-superintelligence-alliance
3,Render,RENDER,render
4,Bittensor,TAO,bittensor
5,The Graph,GRT,the-graph
6,Theta Network,THETA,theta-network
7,DeXe,DEXE,dexe
8,AIOZ Network,AIOZ,aioz-network
9,Turbo,TURBO,turbo
10,Golem,GLM,golem-network-tokens
11,Aethir,ATH,aethir
12,io.net,IO,io-net
13,Arkham,ARKM,arkham
14,OriginTrail,TRAC,origintrail
15,Flux,FLUX,zel
16,Qubic,QUBIC,qubic
17,Destra Network,DSYNC,destra-network
18,Arcblock,ABT,arcblock
19,Kadena,KDA,kadena
20,Casper,CSPR,casper
21,Zignaly,ZIG,zigcoin
22,Ozone Chain,OZO,ozone-chain
23,RSS3,RSS3,rss3
24,0x0.ai,0x0,0x0-ai-ai-smart-contract
25,Delysium,AGI,delysium
26,iExec RLC,RLC,rlc
27,Numeraire,NMR,numeraire
28,inSure DeFi,SURE,insure
29,Marlin,POND,marlin
30,Nosana,NOS,nosana
31,IQ,IQ,iq
32,Sleepless AI,AI,sleepless-ai
33,dKargo,DKA,dkargo
34,Solidus Ai Tech,AITECH,solidus-ai-tech
35,Phala Network,PHA,phala-network
36,Hooked Protocol,HOOK,hooked-protocol
37,Oraichain,ORAI,oraichain-token
38,NetMind Token,NMT,netmind-token
39,Phoenix,PHB,phoenix-global-new
40,CUDOS,CUDOS,cudos
41,NFPrompt,NFP,nfprompt
42,Artificial Liquid Intelligence,ALI,alethea-artificial-liquid-intelligence-token
43,LimeWire,LMWR,limewire
44,TokenFi,TOKEN,tokenfi
45,Forta,FORT,forta
46,PlatON,LAT,platon
47,Dimitra,DMTR,dimitra
48,Streamr,DATA,streamr
49,DecideAI,DCD,decideai
50,DIA,DIA,dia
51,Aleph.im,ALEPH,aleph-im
52,Cortex,CTXC,cortex
53,PaLM AI,PALM,palm-ai
54,Victoria VR,VR,victoria-vr
55,Verasity,VRA,verasity
56,Virtuals Protocol,VIRTUAL,virtual-protocol
57,SelfKey,KEY,selfkey
58,LinqAI,LNQ,linqai
59,Sentinel Protocol,UPP,sentinel-protocol
60,Measurable Data Token,MDT,measurable-data-token
61,SIDUS,SIDUS,sidus
62,Numbers Protocol,NUM,numbers-protocol
63,VAIOT,VAI,vaiot
64,PARSIQ,PRQ,parsiq
65,SingularityDAO,SDAO,singularitydao
66,Graphlinq Chain,GLQ,graphlinq-protocol
67,Vectorspace AI,VXV,vectorspace-ai
68,Agoras: Currency of Tau,AGRS,agoras-tokens
69,Cere Network,CERE,cere-network
70,OORT,OORT,oortech
71,GT Protocol,GTAI,gt-protocol
72,AIT Protocol,AIT,ait-protocol
73,Botto,BOTTO,botto
74,iMe Lab,LIME,ime-lab
75,zKML,ZKML,zkml
76,Only1,LIKE,only1
77,NuNet,NTX,nunet
78,Zero1 Labs,DEAI,zero1-labs
79,Commune AI,COMAI,commune-ai
80,QnA3.AI,GPT,qna3ai
81,Apeiron,APRS,apeiron
82,SPECTRE AI,SPECTRE,spectre-ai
83,Volt Inu,VOLT,volt-inu-v2
84,Lumerin,LMR,lumerin
85,HyperGPT,HGPT,hypergpt
86,Ooki Protocol,OOKI,ooki-protocol
87,DeepBrain Chain,DBC,deepbrain-chain
88,Atlas Navi,NAVI,atlas-navi
89,GameGPT,DUEL,duel
90,Openfabric AI,OFN,openfabric-ai
91,Three Protocol Token,THREE,three-protocol-token
92,HotKeySwap,HOTKEY,hotkeyswap
93,DexCheck AI,DCK,dexcheck
94,Matrix AI Network,MAN,matrix-ai-network
95,TRVL,TRVL,trvl
96,Step App,FITFI,step-app
97,Ta-da,TADA,ta-da
98,Insights Network,INSTAR,insights-network
99,Crypto-AI-Robo.com,CAIR,crypto-ai-robo
100,Phantasma,SOUL,phantasma
101,PIBBLE,PIB,pibble
102,Nuco.cloud,NCDT,nuco-cloud
103,Big Data Protocol,BDP,big-data-protocol
104,Bad Idea AI,BAD,bad-idea-ai
105,bitsCrunch,BCUT,bitscrunch
106,AIPAD,AIPAD,aipad
107,Netvrk,NETVR,netvrk
108,Optimus AI,OPTI,optimus-ai
109,Swash,SWASH,swash
110,FABRK,FAB,fabrk
111,Omax Coin,OMAX,omax-token
112,Robonomics.network,XRT,robonomics-network
113,Covalent,CQT,covalent
114,imgnAI,IMGNAI,image-generation-ai
115,Bridge Oracle,BRG,bridge-oracle
116,SENATE,SENATE,senate
117,UnMarshal,MARSH,unmarshal
118,Presearch,PRE,presearch
119,TypeAI,TYPE,typeai
120,Edge Matrix Computing,EMC,edge-matrix-computing
121,Lossless,LSS,lossless
122,Cogito Finance,CGV,cogito-protocol
123,Mozaic,MOZ,mozaic
124,Lambda,LAMB,lambda
125,Morpheus Infrastructure Node,MIND,morpheus-labs-v2
126,AXIS Token,AXIS,axis-token
127,AIgentX,AIX,aigentx
128,Ispolink,ISP,ispolink
129,PolkaBridge,PBR,polkabridge
130,Mobilian Coin,MBN,mobilian-coin
131,ClinTex CTi,CTI,clintex-cti
132,Effect AI,EFX,effect-ai
133,Lush AI,LUSH,lush-ai
134,MBD Financials,MBD,mbd-financials
135,ROOBEE,ROOBEE,roobee
136,Chirpley,CHRP,chirpley
137,B-cube.ai,BCUBE,b-cube-ai
138,Dock,DOCK,dock
139,PureFi Protocol,UFI,purefi-protocol
140,DxChain Token,DX,dxchain-token
141,Neurahub,NEURA,neurahub
142,CryptoPing,PING,cryptoping
143,WAM,WAM,wam-app
144,Dotmoovs,MOOV,dotmoovs
145,LBRY Credits,LBC,library-credits
146,TrustVerse,TRV,trustverse
147,GNY,GNY,gny
148,Lithium,LITH,lithium
149,ApeBond,ABOND,apebond
150,Idena,IDNA,idena
151,GoCrypto Token,GOC,gocrypto-token
152,Uno Re,UNO,unore
153,TRAVA.FINANCE,TRAVA,trava-finance
154,XMON,XMON,xmon
155,ProChain,PRA,prochain
156,Bird.Money,BIRD,bird-money
157,Aimedis (new),AIMX,aimedis-new
158,Cirus Foundation,CIRUS,cirus-foundation
159,aiRight,AIRI,airight
160,Metaverse Face,MEFA,metaverse-face
161,Project Pai,PAI,project-pai
162,MineBee,MB,minebee
163,Neurashi,NEI,neurashi
164,Gemach,GMAC,gemach
165,Artisse,CATHEON,catheon-gaming
166,All In,ALLIN,all-in
167,UTU Protocol,UTU,utu-protocol
168,BullBear AI,AIBB,bullbear-ai
169,Cryptoindex.com 100,CIX100,cryptoindex-com-100
170,Link Machine Learning,LML,link-machine-learning
171,Ties.DB,TIE,tiesdb
172,Ojamu,OJA,ojamu
173,Anchor Neural World,ANW,anchor-neural-world
174,Arcona,ARCONA,arcona
175,MetamonkeyAi,MMAI,metamonkeyai
176,OceanEx Token,OCE,oceanex-token
177,Raze Network,RAZE,raze-network
178,Datum,DAT,datum
179,BitClave,CAT,bitclave
180,Leadcoin,LDC,leadcoin
181,Triall,TRL,triall
182,YFDAI.FINANCE,YF-DAI,yfdai-finance
183,AdHive,ADH,adhive
184,SophiaTX,SPHTX,sophiatx
185,Elamachain,ELAMA,elamachain
186,Aitra,AITRA,aitra
187,Davinci Coin,DAC,davinci-coin
188,Pawtocol,UPI,pawtocol
189,Ubex,UBEX,ubex
190,AI Doctor,AIDOC,aidoc
191,DATx,DATX,datx
192,Connectome,CNTM,connectome
193,POLY AI,AI,poly-ai
194,Aventis Metaverse,AVTM,aventis-metaverse
195,Dtec,DTEC,dtec-token
196,Octavia AI,VIA,octavia
197,VirtuSwap,VRSW,virtuswap
198,Balance AI,BAI,balance-ai
199,BuildAI,BUILD,buildai
200,Acria.AI,ACRIA,acria
201,MultiDEX AI,MDX,multidex-ai
202,AlphaKEK.AI,AIKEK,alphakek-ai
203,KWAI,KWAI,kwai-labs
204,Mind,MND,mind
205,VectorChat.ai,CHAT,vectorchat-ai
206,Oracle AI,ORACLE,oracle-ai
207,Neuroni AI,NEURONI,neuroni-ai
208,InspireAI,INSP,inspireai
209,AI PIN,AI,ai-pin
210,Website AI,WEBAI,website-ai
211,LNDRY,LNDRY,lndry
212,Purple AI,PAI,purple-ai
213,AstraAI,ASTRA,astraai
214,Black Rabbit AI,BRAIN,black-rabbit-ai
215,Grow Token,GROW,grow-token
216,PaladinAI,PALAI,paladinai
217,Vuzz AI,VUZZ,vuzz-mind
218,McPepe's,PEPES,mcpepes
219,BurnifyAI,BURNIFYAI,burnifyai
220,Ring AI,RING,ring-ai
221,AITK,AITK,aitk
222,AI Network,AIN,ai-network
223,LayerAI,LAI,cryptogpt
224,VEROX,VRX,verox
225,Cipher Protocol,CIPHER,cipher-protocol
226,Roko,ROKO,roko
227,infraX,INFRA,infrax
228,Chat AI,AI,chat-ai
229,Next Gem AI,GEMAI,the-next-gem
230,AlphaRush AI,rushAI,alpharush
231,NeuralAI,NEURAL,neuralai
232,Resistor AI,TOR,resistor-ai
233,Uberstate RIT 2.0,RIT20,uberstate-inc
234,Acria.AI AIMARKET,AIMARKET,acria-ai-aimarket
235,Liza,LIZA,liza
